"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Fear of Lost Teeth","B","C","79561","7.33","15386","9.44","53773","55.9%","56.4%","9368","57.8%","13333","56.6%","22701","57.1%","31015","55.9%","1.2pp"
"Bottomless Pool // Locker Room","U","U","15113","2.65","4904","3.10","28042","92.8%","56.4%","4818","57.3%","7439","60.5%","12257","59.2%","15699","54.1%","5.1pp"
"Unable to Scream","U","C","56405","3.95","13654","5.03","78852","93.3%","56.3%","13486","56.0%","21133","59.4%","34619","58.1%","44224","54.9%","3.2pp"
"Murder","B","C","55444","3.94","9562","5.22","52111","88.3%","56.3%","8661","55.7%","13418","60.4%","22079","58.5%","29853","54.6%","3.9pp"
"Manifest Dread","G","C","55097","3.81","6814","5.30","37452","88.2%","56.3%","6652","56.5%","9104","57.4%","15756","57.0%","21685","55.8%","1.2pp"
"Ethereal Armor","W","U","18821","3.23","5191","3.81","27762","86.5%","56.3%","4603","57.2%","6803","60.0%","11406","58.9%","16347","54.5%","4.4pp"
"Ticket Booth // Tunnel of Hate","R","C","77414","6.47","13867","8.44","54750","62.9%","56.3%","9310","56.6%","12693","57.0%","22003","56.8%","32718","55.9%","0.9pp"
"Glimmer Seeker","W","U","12688","2.27","3280","2.64","18455","90.9%","56.2%","3282","58.5%","4243","55.5%","7525","56.8%","10919","55.8%","0.9pp"
"Unidentified Hovership","W","R","2099","1.07","1199","1.07","6111","83.4%","56.2%","1041","59.9%","1457","59.6%","2498","59.8%","3608","53.7%","6.0pp"
"Balustrade Wurm","G","R","2030","1.08","1242","1.08","6731","87.8%","56.2%","1116","57.7%","1623","60.1%","2739","59.1%","3992","54.3%","4.8pp"
"Niko, Light of Hope","WU","M","1099","1.10","752","1.10","3935","85.1%","56.2%","684","60.2%","1046","61.3%","1730","60.9%","2209","52.6%","8.3pp"
"Beastie Beatdown","RG","U","18923","3.12","2994","3.64","14227","76.5%","56.2%","2337","55.6%","3205","61.6%","5542","59.1%","8669","54.3%","4.8pp"
"Cursed Windbreaker","U","U","19605","3.37","4135","4.16","21192","83.2%","56.2%","3702","58.0%","5512","58.0%","9214","58.0%","11971","54.8%","3.2pp"
"Arabella, Abandoned Doll","WR","U","11711","2.13","2714","2.29","13513","81.1%","56.2%","2335","60.7%","2963","57.8%","5298","59.1%","8180","54.2%","4.9pp"
"Commune with Evil","B","U","29251","5.45","4767","7.12","16200","54.9%","56.2%","2714","56.3%","4248","60.2%","6962","58.7%","9197","54.2%","4.5pp"
"Ragged Playmate","R","C","64157","4.66","5711","6.82","27271","76.9%","56.2%","4807","57.5%","5906","54.5%","10713","55.8%","16536","56.3%","-0.5pp"
"Winter's Intervention","B","C","64116","4.82","6933","7.06","29699","68.7%","56.2%","5185","57.1%","7507","57.6%","12692","57.4%","16917","55.2%","2.2pp"
"Fear of Burning Alive","R","U","17972","3.09","4922","3.61","26935","88.8%","56.1%","4154","54.9%","6315","60.9%","10469","58.5%","16446","54.6%","3.9pp"
"Terramorphic Expanse","","C","60165","4.06","10795","5.81","63587","95.2%","56.1%","11775","58.3%","15048","55.1%","26823","56.5%","36728","55.8%","0.7pp"
"Fear of Immobility","W","C","63634","4.46","6524","6.65","30105","74.7%","56.1%","4694","54.6%","7203","57.8%","11897","56.5%","18208","55.8%","0.7pp"
"Shardmage's Rescue","W","U","15374","2.69","3792","3.24","20766","89.3%","56.0%","3416","56.2%","4835","57.4%","8251","56.9%","12502","55.5%","1.4pp"
"Silent Hallcreeper","U","R","2229","1.17","1472","1.17","8019","89.4%","56.0%","1496","64.7%","2056","58.2%","3552","61.0%","4481","52.2%","8.8pp"
"Fanatic of the Harrowing","B","C","79516","7.38","11025","10.09","24506","35.5%","56.0%","3942","56.2%","6317","57.8%","10259","57.2%","14159","55.2%","2.0pp"
"Oblivious Bookworm","UG","U","12382","2.15","3104","2.35","15310","80.2%","56.0%","2630","60.4%","4005","57.9%","6635","58.9%","8690","53.8%","5.0pp"
"Razortrap Gorge","","C","41219","6.46","5653","8.57","21002","59.4%","56.0%","4014","56.4%","5057","54.8%","9071","55.5%","11923","56.4%","-0.9pp"
"Ghost Vacuum","","R","2297","1.16","1064","1.16","5859","90.3%","56.0%","1041","58.2%","1463","58.2%","2504","58.2%","3364","54.3%","3.9pp"
"Cynical Loner","B","U","29179","5.42","5512","7.09","22650","66.3%","55.9%","4201","58.3%","5535","56.5%","9736","57.3%","12888","54.9%","2.4pp"
"Grand Entryway // Elegant Rotunda","W","C","56565","3.73","9792","5.04","52782","87.7%","55.9%","9307","55.2%","12678","56.6%","21985","56.1%","30757","55.8%","0.2pp"
"Stalked Researcher","U","C","79480","7.59","15845","9.66","53390","53.7%","55.9%","9193","56.8%","13473","54.8%","22666","55.6%","30723","56.2%","-0.6pp"
"Enduring Courage","R","R","2269","1.17","1224","1.18","6717","88.0%","55.9%","1183","58.8%","1594","57.0%","2777","57.8%","3955","54.7%","3.1pp"
"Monstrous Emergence","G","C","40921","2.93","5973","3.90","34176","92.0%","55.9%","5629","55.6%","8407","58.3%","14036","57.2%","20141","55.0%","2.3pp"
"Friendly Ghost","W","C","73742","5.73","10484","8.00","42878","65.9%","55.9%","6729","54.7%","9960","56.9%","16689","56.0%","26114","55.7%","0.3pp"
"Insidious Fungus","G","U","18165","2.98","3283","3.80","17985","89.8%","55.9%","3161","56.5%","4183","56.8%","7344","56.7%","10629","55.2%","1.5pp"
"Abandoned Campground","","C","38354","5.39","5118","7.40","22658","72.4%","55.8%","4197","58.2%","5657","54.7%","9854","56.2%","12801","55.6%","0.7pp"
"Break Down the Door","G","U","17409","2.93","3050","3.70","16855","89.9%","55.8%","2790","54.4%","4121","58.6%","6911","56.9%","9953","55.1%","1.8pp"
"Wary Watchdog","G","C","63984","4.55","9775","6.22","53819","88.6%","55.8%","9733","58.0%","12387","55.8%","22120","56.8%","31634","55.1%","1.7pp"
"Norin, Swift Survivalist","R","U","26963","4.48","3340","6.11","14175","68.1%","55.8%","2651","57.0%","3011","53.7%","5662","55.2%","8501","56.2%","-0.9pp"
"Fear of Surveillance","W","C","49960","3.45","8464","4.70","48757","93.5%","55.8%","8886","57.5%","11455","54.7%","20341","55.9%","28362","55.7%","0.2pp"
"Tunnel Surveyor","U","C","68990","5.13","13149","6.80","66912","82.4%","55.8%","11384","54.8%","17111","57.0%","28495","56.1%","38365","55.5%","0.6pp"
"Fear of Abduction","W","U","12947","2.29","3079","2.72","16910","89.2%","55.8%","2585","55.3%","4080","59.4%","6665","57.8%","10245","54.4%","3.3pp"
"Spineseeker Centipede","G","C","55143","3.81","10652","4.92","58689","89.6%","55.7%","10378","56.3%","14009","57.1%","24387","56.7%","34198","55.0%","1.8pp"
"Piranha Fly","U","C","78729","7.07","13332","9.41","42923","51.7%","55.7%","7573","56.3%","10608","55.3%","18181","55.7%","24745","55.8%","-0.0pp"
"Veteran Survivor","W","U","15366","2.70","2427","3.37","12512","84.3%","55.7%","2288","60.2%","2746","55.5%","5034","57.6%","7448","54.4%","3.3pp"
"Vile Mutilator","B","U","25732","4.49","5756","5.57","26989","76.2%","55.7%","3989","54.3%","6898","59.7%","10887","57.7%","16016","54.3%","3.4pp"
"Gloomlake Verge","","R","2993","1.44","411","","1162","47.4%","55.7%","236","","294","","530","59.4%","632","52.5%","6.9pp"
"Surgical Suite // Hospital Room","W","U","13816","2.50","4358","2.90","23899","88.8%","55.7%","3895","55.1%","5769","58.5%","9664","57.1%","14198","54.7%","2.4pp"
"Seized from Slumber","W","C","54870","3.74","7036","5.32","37581","86.3%","55.6%","6155","54.8%","9170","58.1%","15325","56.8%","22229","54.8%","2.0pp"
"Omnivorous Flytrap","G","R","2211","1.16","1318","1.17","7100","87.2%","55.6%","1170","53.8%","1792","61.4%","2962","58.4%","4108","53.6%","4.7pp"
"Diversion Specialist","R","U","27513","4.92","4435","6.44","19109","69.7%","55.6%","3124","52.8%","4489","56.8%","7613","55.2%","11503","55.9%","-0.7pp"
"Inquisitive Glimmer","WU","U","16348","2.78","4070","3.16","20920","84.5%","55.6%","3580","58.3%","5280","55.0%","8860","56.3%","12077","55.0%","1.3pp"
"Withering Torment","B","U","22924","3.74","6476","4.49","36113","90.1%","55.6%","6098","54.7%","9322","57.8%","15420","56.5%","20573","54.8%","1.7pp"
"Found Footage","","C","81443","7.98","7776","11.18","7198","14.8%","55.6%","1284","54.1%","1687","55.4%","2971","54.9%","4218","56.0%","-1.2pp"
"Meat Locker // Drowned Diner","U","C","64990","4.72","13642","6.20","72783","86.5%","55.6%","12223","53.7%","18935","58.9%","31158","56.9%","41446","54.6%","2.3pp"
"Conductive Machete","","U","19649","3.34","3490","4.58","18537","86.0%","55.5%","3019","55.7%","4506","57.0%","7525","56.5%","10993","54.9%","1.6pp"
"Bashful Beastie","G","C","68325","4.98","8239","7.10","41155","80.7%","55.5%","6592","55.4%","10052","56.5%","16644","56.1%","24475","55.1%","1.0pp"
"Most Valuable Slayer","R","C","64574","4.67","10298","6.17","54192","85.1%","55.5%","8806","54.2%","12367","56.6%","21173","55.6%","32968","55.4%","0.1pp"
"Strangled Cemetery","","C","39918","5.94","5371","8.00","21874","66.2%","55.5%","4006","56.2%","5282","52.6%","9288","54.2%","12557","56.4%","-2.3pp"
"Jump Scare","W","C","73366","5.70","8209","8.22","27845","54.6%","55.5%","4311","53.2%","6256","56.9%","10567","55.4%","17271","55.5%","-0.1pp"
"Zimone, All-Questioning","UG","R","1988","1.10","1095","1.10","5639","83.5%","55.5%","988","65.8%","1445","57.9%","2433","61.1%","3190","51.1%","10.0pp"
"House Cartographer","G","U","17338","2.96","2559","3.83","14187","88.4%","55.4%","2547","57.3%","3233","55.1%","5780","56.1%","8386","54.9%","1.1pp"
"Fear of Falling","U","U","17905","3.09","4102","3.82","23105","92.7%","55.4%","3564","55.2%","6168","57.6%","9732","56.8%","13410","54.4%","2.3pp"
"Live or Die","B","U","16772","2.95","3625","3.64","19451","88.6%","55.4%","3040","53.7%","5023","59.3%","8063","57.2%","11292","54.0%","3.1pp"
"Come Back Wrong","B","R","2885","1.40","1173","1.42","6312","89.4%","55.4%","1036","56.5%","1623","58.8%","2659","57.9%","3629","53.7%","4.2pp"
"Threats Around Every Corner","G","U","14337","2.51","3821","2.92","20156","86.7%","55.4%","3413","60.2%","5084","57.8%","8497","58.8%","11638","52.9%","5.9pp"
"Reluctant Role Model","W","R","2365","1.15","1241","1.17","6700","87.9%","55.3%","1225","61.1%","1529","56.3%","2754","58.4%","3940","53.2%","5.2pp"
"Lionheart Glimmer","W","U","17233","2.95","3681","3.60","19820","88.6%","55.3%","3077","53.8%","4699","57.0%","7776","55.7%","12005","55.0%","0.7pp"
"Resurrected Cultist","B","C","80349","7.85","11951","10.62","24712","32.7%","55.3%","4211","54.2%","6003","56.0%","10214","55.3%","14482","55.4%","-0.2pp"
"Flesh Burrower","G","C","64566","4.58","8029","6.48","42956","87.2%","55.3%","7692","55.8%","9983","56.3%","17675","56.1%","25239","54.7%","1.3pp"
"Impossible Inferno","R","C","76902","6.46","9190","9.26","25089","43.5%","55.3%","3839","52.7%","5862","57.9%","9701","55.8%","15376","55.0%","0.8pp"
"Paranormal Analyst","U","U","19773","3.36","4055","3.95","18163","73.1%","55.3%","3191","57.2%","4660","55.5%","7851","56.2%","10317","54.6%","1.6pp"
"Drag to the Roots","BG","U","21735","3.51","3924","4.24","19344","80.8%","55.3%","3074","53.2%","5011","58.7%","8085","56.6%","11184","54.3%","2.3pp"
"Killer's Mask","B","U","29350","5.50","3157","7.98","7448","38.8%","55.2%","1258","55.3%","1837","57.7%","3095","56.7%","4340","54.2%","2.6pp"
"Cult Healer","W","C","73463","5.71","8530","8.31","28923","54.9%","55.2%","4869","54.4%","6819","54.8%","11688","54.7%","17221","55.5%","-0.8pp"
"Slavering Branchsnapper","G","C","68428","5.05","7110","7.47","33881","77.1%","55.2%","5744","52.8%","8045","56.3%","13789","54.9%","20084","55.4%","-0.5pp"
"Defiant Survivor","G","U","14249","2.50","3303","2.99","18331","91.5%","55.2%","3269","57.8%","4329","56.2%","7598","56.9%","10731","53.9%","3.1pp"
"Let's Play a Game","B","U","31636","6.43","6651","8.34","16112","39.1%","55.2%","2527","55.1%","4041","59.2%","6568","57.6%","9479","53.3%","4.3pp"
"Acrobatic Cheerleader","W","C","63080","4.41","7405","6.31","35713","78.2%","55.1%","6484","55.7%","7722","53.0%","14206","54.2%","21461","55.7%","-1.5pp"
"Underwater Tunnel // Slimy Aquarium","U","C","72468","5.61","14620","7.43","70314","78.5%","55.1%","12530","54.6%","18166","56.3%","30696","55.6%","39526","54.8%","0.8pp"
"Saw","","U","34144","7.70","5409","10.22","6589","19.3%","55.1%","1138","52.2%","1539","54.6%","2677","53.6%","3909","56.2%","-2.6pp"
"Say Its Name","G","C","64556","4.55","8812","6.13","36208","67.6%","55.1%","6428","54.7%","8472","56.9%","14900","55.9%","21273","54.6%","1.4pp"
"Vicious Clown","R","C","78950","6.95","10533","9.32","33914","51.7%","55.1%","5653","54.2%","7380","52.8%","13033","53.4%","20840","56.1%","-2.7pp"
"Boilerbilges Ripper","R","C","79316","7.45","9231","10.56","14450","24.9%","55.1%","2172","53.2%","3596","56.6%","5768","55.3%","8677","54.9%","0.5pp"
"Grasping Longneck","G","C","76805","6.35","9326","8.98","33668","58.4%","55.0%","5713","55.0%","7997","55.6%","13710","55.4%","19941","54.8%","0.6pp"
"Patched Plaything","W","U","17243","2.96","3297","3.65","16999","85.2%","55.0%","2864","56.0%","3916","54.5%","6780","55.2%","10218","54.9%","0.3pp"
"Roaring Furnace // Steaming Sauna","UR","R","2384","1.21","955","1.20","4601","79.6%","54.9%","791","61.8%","1236","61.2%","2027","61.5%","2540","49.6%","11.9pp"
"Derelict Attic // Widow's Walk","B","C","81786","8.64","18813","10.78","34299","29.1%","54.9%","5920","55.7%","8831","57.3%","14751","56.6%","19470","53.5%","3.1pp"
"Wickerfolk Thresher","G","U","14317","2.50","3674","2.99","20605","92.1%","54.9%","3511","54.6%","5030","57.3%","8541","56.2%","12059","53.9%","2.3pp"
"Duskmourn's Domination","U","U","25810","4.47","3257","6.15","13034","66.1%","54.9%","1971","53.6%","3371","57.0%","5342","55.8%","7694","54.3%","1.5pp"
"The Wandering Rescuer","W","M","1054","1.14","769","1.14","3941","85.2%","54.9%","679","59.9%","962","57.1%","1641","58.3%","2298","52.4%","5.8pp"
"Valgavoth's Faithful","B","U","25682","4.51","4716","5.74","21111","73.2%","54.9%","3580","54.0%","5250","57.6%","8830","56.2%","12175","53.9%","2.3pp"
"Spectral Snatcher","B","C","80550","7.83","16075","10.10","47141","47.1%","54.8%","8078","53.6%","11617","56.2%","19695","55.1%","27397","54.6%","0.5pp"
"Marvin, Murderous Mimic","","R","3731","1.82","339","","774","36.9%","54.8%","118","","173","","291","","481","",""
"Grab the Prize","R","C","81299","8.35","12605","11.12","17282","21.7%","54.8%","2980","54.1%","3915","55.2%","6895","54.7%","10383","54.8%","-0.0pp"
"Get Out","U","U","32965","7.37","10068","8.45","34367","55.2%","54.7%","5686","53.6%","9009","56.9%","14695","55.6%","19683","54.1%","1.6pp"
"Valgavoth, Terror Eater","B","M","1124","1.17","648","1.16","2970","75.7%","54.7%","438","","785","57.5%","1223","56.5%","1734","53.5%","3.0pp"
"Shroudstomper","WB","U","27700","4.63","4194","5.53","16422","64.0%","54.7%","2433","55.0%","4209","60.5%","6642","58.5%","9737","52.1%","6.4pp"
"Friendly Teddy","","C","81716","7.83","9549","10.75","14573","24.1%","54.7%","2654","52.9%","3280","53.2%","5934","53.1%","8625","55.7%","-2.7pp"
"Growing Dread","UG","U","20606","3.40","3974","3.90","18873","78.4%","54.7%","3288","57.3%","5074","57.1%","8362","57.2%","10508","52.6%","4.6pp"
"Coordinated Clobbering","G","U","21310","3.58","4087","4.58","20958","84.5%","54.7%","3406","55.2%","4960","56.9%","8366","56.2%","12607","53.7%","2.5pp"
"Lakeside Shack","","C","38675","5.47","4089","7.61","15990","63.8%","54.6%","2869","57.0%","4031","54.2%","6900","55.4%","9081","54.0%","1.3pp"
"Rootwise Survivor","G","U","25273","4.39","3429","5.97","14473","69.5%","54.6%","2217","54.1%","3401","56.4%","5618","55.5%","8832","54.0%","1.5pp"
"Fear of Exposure","G","U","17347","2.96","2461","3.79","13152","88.0%","54.6%","2199","54.0%","3194","54.4%","5393","54.2%","7757","54.6%","-0.4pp"
"Orphans of the Wheat","W","U","20986","3.53","2953","4.55","13999","78.1%","54.5%","2551","55.3%","3015","51.4%","5566","53.2%","8406","55.5%","-2.3pp"
"Overlord of the Hauntwoods","G","M","1092","1.13","718","1.14","3636","82.9%","54.5%","602","60.0%","919","56.7%","1521","58.0%","2115","51.9%","6.1pp"
"Murky Sewer","","C","41205","6.52","6125","8.69","20061","53.2%","54.5%","3557","56.1%","5059","56.4%","8616","56.3%","11422","53.2%","3.1pp"
