"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Overlord of the Mistmoors","W","M","981","1.01","861","1.01","5147","91.8%","59.9%","893","68.4%","1294","68.5%","2187","68.4%","2951","53.6%","14.9pp"
"Overlord of the Boilerbilges","R","M","967","1.01","768","1.01","4390","89.2%","59.3%","731","65.3%","1034","66.6%","1765","66.1%","2621","54.8%","11.2pp"
"Unstoppable Slasher","B","R","2251","1.17","1646","1.17","9727","92.8%","58.9%","1780","67.4%","2556","63.3%","4336","65.0%","5363","53.8%","11.2pp"
"Disturbing Mirth","BR","U","32567","6.13","8544","6.58","34169","62.7%","58.9%","5664","61.9%","8689","62.9%","14353","62.5%","19741","56.2%","6.3pp"
"Unholy Annex // Ritual Chamber","B","R","2105","1.09","1488","1.08","8567","91.4%","58.7%","1516","67.7%","2195","67.6%","3711","67.6%","4796","51.7%","15.9pp"
"Dissection Tools","","R","1968","1.02","1646","1.02","10334","98.4%","58.6%","1718","64.1%","2696","64.8%","4414","64.5%","5900","54.2%","10.3pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","1028","1.10","825","1.08","4754","88.9%","58.5%","841","64.0%","1134","62.6%","1975","63.2%","2767","55.0%","8.2pp"
"The Swarmweaver","BG","R","2071","1.10","1311","1.10","7153","87.7%","58.4%","1194","64.8%","1842","67.3%","3036","66.3%","4074","52.4%","14.0pp"
"Valgavoth's Onslaught","G","R","2018","1.01","1658","1.01","9936","95.0%","58.4%","1708","66.5%","2542","68.3%","4250","67.6%","5661","51.5%","16.1pp"
"Overlord of the Balemurk","B","M","1137","1.14","840","1.15","4740","91.2%","58.4%","865","67.5%","1236","61.3%","2101","63.9%","2626","54.1%","9.8pp"
"Unholy Heat","R","M","295","","105","","568","85.0%","58.1%","98","","143","","241","","326","",""
"Sheltered by Ghosts","W","U","10734","1.99","5177","2.18","30197","91.9%","58.0%","5084","59.9%","7189","64.3%","12273","62.5%","17892","54.8%","7.6pp"
"Tyvar, the Pummeler","G","M","964","1.02","668","1.02","3729","87.6%","57.9%","651","66.1%","924","65.8%","1575","65.9%","2151","52.1%","13.8pp"
"Ghostly Dancers","W","R","2012","1.05","1558","1.05","9197","91.7%","57.9%","1510","62.1%","2350","67.8%","3860","65.6%","5324","52.3%","13.2pp"
"Sawblade Skinripper","BR","U","28653","4.74","5559","5.42","26137","74.7%","57.9%","4416","57.2%","6689","60.4%","11105","59.1%","15010","57.0%","2.1pp"
"Clockwork Percussionist","R","C","56796","3.86","8854","5.12","50250","89.9%","57.8%","9205","60.0%","11515","58.2%","20720","59.0%","29491","56.9%","2.1pp"
"Undead Sprinter","BR","R","2659","1.36","893","1.38","4093","71.6%","57.8%","722","60.4%","1045","60.5%","1767","60.4%","2325","55.7%","4.7pp"
"Nowhere to Run","B","U","20422","3.43","7565","3.96","43617","91.7%","57.7%","7742","59.8%","11267","61.2%","19009","60.6%","24470","55.4%","5.3pp"
"Razorkin Hordecaller","R","U","13626","2.40","3652","2.72","21219","92.3%","57.7%","3391","59.0%","4984","62.2%","8375","60.9%","12842","55.5%","5.4pp"
"Optimistic Scavenger","W","U","13572","2.28","5559","2.50","31063","89.7%","57.6%","5637","65.5%","7319","57.9%","12956","61.2%","18079","55.0%","6.1pp"
"Glimmerlight","","C","76149","5.70","18875","7.29","97903","82.1%","57.6%","17783","58.3%","23379","57.8%","41162","58.0%","56686","57.3%","0.8pp"
"Final Vengeance","B","C","72411","5.73","14394","7.30","68026","75.1%","57.6%","11092","57.6%","17734","61.9%","28826","60.2%","39025","55.6%","4.7pp"
"Overlord of the Floodpits","U","M","1038","1.10","794","1.10","4323","87.8%","57.5%","737","63.6%","1157","63.2%","1894","63.4%","2439","52.9%","10.4pp"
"Unnerving Grasp","U","U","12678","2.30","4373","2.56","25156","91.9%","57.5%","4253","59.2%","6747","61.3%","11000","60.4%","14149","55.1%","5.3pp"
"Wildfire Wickerfolk","RG","U","16725","2.80","2842","3.20","14111","77.5%","57.4%","2495","60.6%","3156","59.3%","5651","59.8%","8465","55.9%","4.0pp"
"Splitskin Doll","W","U","11720","2.13","3193","2.47","18161","90.7%","57.4%","3303","59.8%","4207","60.2%","7510","60.0%","10605","55.6%","4.4pp"
"Vengeful Possession","R","U","27488","4.88","4829","6.12","21149","69.0%","57.3%","3318","57.2%","5147","62.4%","8465","60.4%","12671","55.3%","5.1pp"
"Damnation","B","M","217","","109","","607","84.4%","57.3%","109","","160","","269","","336","",""
"Screaming Nemesis","R","M","998","1.03","687","1.03","3639","84.6%","57.3%","647","64.1%","826","60.4%","1473","62.1%","2173","54.1%","7.9pp"
"Fear of Isolation","U","U","15047","2.62","5453","2.97","32190","93.6%","57.2%","5468","58.3%","8607","62.4%","14075","60.8%","18138","54.5%","6.3pp"
"Abhorrent Oculus","U","M","1140","1.10","839","1.09","4712","89.4%","57.2%","805","57.8%","1262","61.1%","2067","59.8%","2639","55.1%","4.7pp"
"Irreverent Gremlin","R","U","13611","2.43","3125","2.86","18243","92.9%","57.2%","3312","60.5%","4101","56.7%","7413","58.4%","10813","56.3%","2.1pp"
"Piggy Bank","R","U","13663","2.43","3471","2.88","20316","93.6%","57.2%","3667","62.0%","4595","57.1%","8262","59.3%","12064","55.7%","3.6pp"
"Entity Tracker","U","R","2261","1.18","1370","1.17","7908","92.5%","57.1%","1397","64.6%","2083","59.5%","3480","61.6%","4433","53.7%","7.9pp"
"Broodspinner","BG","U","19672","3.18","4964","3.61","24469","80.4%","57.1%","4093","59.5%","6175","60.8%","10268","60.2%","14110","54.6%","5.6pp"
"Fear of Missing Out","R","R","2109","1.08","1129","1.09","6220","87.6%","57.0%","1134","60.7%","1471","60.2%","2605","60.4%","3609","54.6%","5.8pp"
"Painter's Studio // Defaced Gallery","R","U","19961","3.37","4341","4.07","23247","85.5%","57.0%","3923","57.4%","5390","58.9%","9313","58.3%","13918","56.3%","2.0pp"
"Fear of Being Hunted","R","U","19940","3.36","4634","4.05","26406","89.3%","57.0%","4478","58.9%","6094","57.4%","10572","58.0%","15828","56.4%","1.7pp"
"Chainsaw","R","R","2299","1.16","1276","1.17","7288","90.3%","57.0%","1272","60.4%","1757","59.9%","3029","60.1%","4257","54.8%","5.4pp"
"Floodpits Drowner","U","U","14948","2.64","4904","3.03","28499","92.9%","57.0%","4992","58.1%","8317","61.1%","13309","60.0%","15947","54.8%","5.2pp"
"Betrayer's Bargain","R","U","14671","2.60","3850","3.08","22446","92.3%","57.0%","3681","56.8%","5319","60.3%","9000","58.9%","13429","55.7%","3.2pp"
"Trapped in the Screen","W","C","36877","2.67","10836","3.25","62580","92.7%","57.0%","10567","57.2%","15380","60.5%","25947","59.1%","36550","55.4%","3.7pp"
"Under the Skin","G","U","12490","2.18","3982","2.48","22981","92.2%","57.0%","3870","59.5%","5741","61.7%","9611","60.8%","13351","54.3%","6.5pp"
"Twitching Doll","G","R","2323","1.15","1292","1.17","6990","86.4%","56.9%","1346","63.6%","1615","57.7%","2961","60.4%","4021","54.4%","6.0pp"
"Vanish from Sight","U","C","61139","4.37","5348","6.41","23952","71.9%","56.9%","3807","57.1%","6356","58.4%","10163","57.9%","13799","56.2%","1.7pp"
"Glimmerburst","U","C","68533","5.15","13623","6.71","68886","80.7%","56.9%","11428","57.2%","17958","59.5%","29386","58.6%","39487","55.6%","3.0pp"
"Enduring Curiosity","U","R","2156","1.08","1462","1.08","8119","89.5%","56.9%","1356","63.6%","2128","61.9%","3484","62.6%","4642","52.7%","9.9pp"
"Innocuous Rat","B","C","75473","6.31","14230","8.11","66550","74.7%","56.8%","11857","57.8%","16522","58.4%","28379","58.1%","38066","55.8%","2.3pp"
"Gremlin Tamer","WU","U","13029","2.31","4337","2.48","23198","87.1%","56.8%","4120","61.4%","6020","58.8%","10140","59.9%","13072","54.4%","5.4pp"
"Osseous Sticktwister","B","U","17232","2.99","5364","3.52","30584","92.7%","56.8%","5494","58.8%","7729","59.9%","13223","59.4%","17274","54.7%","4.7pp"
"Enduring Innocence","W","R","2127","1.08","1426","1.08","7701","87.6%","56.8%","1389","61.8%","1809","59.1%","3198","60.3%","4495","54.3%","6.0pp"
"Turn Inside Out","R","C","63874","4.67","8576","6.42","42567","79.2%","56.7%","6838","57.1%","9443","57.4%","16281","57.3%","26268","56.4%","0.9pp"
"Hand That Feeds","R","C","64158","4.68","7139","6.72","37314","82.5%","56.7%","6652","56.8%","8364","56.9%","15016","56.9%","22273","56.6%","0.3pp"
"Stay Hidden, Stay Silent","U","U","15948","2.64","5434","3.09","31699","94.0%","56.7%","5400","56.3%","8591","61.1%","13991","59.2%","17702","54.7%","4.6pp"
"Midnight Mayhem","WR","U","11656","2.12","2346","2.36","11361","78.1%","56.7%","1951","58.2%","2362","61.7%","4313","60.1%","7046","54.6%","5.5pp"
"Sporogenic Infection","B","U","25458","4.48","6058","5.51","30620","81.2%","56.7%","5313","57.6%","7908","60.2%","13221","59.1%","17303","54.8%","4.4pp"
"Popular Egotist","B","U","27431","4.95","4750","6.44","20081","68.1%","56.7%","3434","55.8%","5121","58.4%","8555","57.4%","11519","56.1%","1.3pp"
"Toby, Beastie Befriender","W","R","2098","1.08","1201","1.07","6363","86.7%","56.7%","1160","64.3%","1518","60.4%","2678","62.1%","3661","52.6%","9.5pp"
"Thornspire Verge","","R","2597","1.29","329","","846","41.4%","56.6%","162","","208","","370","","474","",""
"Patchwork Beastie","G","U","17150","2.96","3769","3.56","20403","86.7%","56.6%","3667","60.0%","4760","55.8%","8427","57.7%","11954","55.9%","1.8pp"
"Kaito, Bane of Nightmares","UB","M","1097","1.19","587","1.19","2813","77.5%","56.6%","438","","794","62.3%","1232","62.3%","1571","52.1%","10.1pp"
"Glassworks // Shattered Yard","R","C","46186","3.23","10570","4.08","60843","92.3%","56.5%","10536","57.2%","14451","59.8%","24987","58.7%","35740","55.0%","3.6pp"
"Scorching Dragonfire","R","C","37361","2.70","9742","3.25","56500","92.4%","56.5%","9950","57.5%","13094","58.8%","23044","58.2%","33412","55.3%","2.9pp"
"Split Up","W","R","2302","1.17","999","1.17","5060","82.9%","56.5%","835","58.0%","1221","60.6%","2056","59.5%","2995","54.3%","5.3pp"
"Exorcise","W","U","13943","2.48","3757","2.98","21072","90.7%","56.5%","3499","55.5%","5077","60.0%","8576","58.2%","12476","55.3%","2.9pp"
"Unsettling Twins","W","C","55028","3.77","5964","5.42","29858","80.9%","56.4%","4865","57.7%","6923","57.7%","11788","57.7%","18021","55.5%","2.2pp"
"The Rollercrusher Ride","R","M","1058","1.07","787","1.06","4342","90.0%","56.4%","752","54.9%","1036","65.2%","1788","60.9%","2549","53.2%","7.6pp"
