"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Overlord of the Mistmoors","W","M","1045","1.27","907","1.25","6026","92.5%","63.2%","1000","71.6%","1560","71.6%","2560","71.6%","3465","57.0%","14.6pp"
"Overlord of the Boilerbilges","R","M","1135","1.37","908","1.34","5979","92.3%","62.2%","986","66.3%","1438","68.2%","2424","67.4%","3555","58.5%","8.9pp"
"Oblivious Bookworm","UG","U","15241","3.55","5401","3.88","30249","79.6%","61.1%","4945","67.1%","8027","62.3%","12972","64.1%","17285","58.7%","5.4pp"
"Tyvar, the Pummeler","G","M","1271","1.52","898","1.50","5840","90.9%","61.1%","953","65.7%","1401","66.2%","2354","66.0%","3507","57.7%","8.3pp"
"Valgavoth's Onslaught","G","R","2357","1.40","2059","1.38","13827","94.4%","61.0%","2320","66.8%","3409","71.1%","5729","69.3%","8072","55.1%","14.3pp"
"Optimistic Scavenger","W","U","11728","2.66","4606","2.90","27844","85.9%","61.0%","4740","68.2%","6454","62.3%","11194","64.8%","16647","58.4%","6.3pp"
"Midnight Mayhem","WR","U","17357","4.18","4503","4.90","22715","71.1%","60.8%","3519","61.8%","4841","65.5%","8360","64.0%","14352","58.9%","5.0pp"
"Unnerving Grasp","U","U","12560","2.85","5524","3.12","35019","90.0%","60.6%","5770","62.5%","9264","64.3%","15034","63.6%","19965","58.3%","5.3pp"
"Unholy Annex // Ritual Chamber","B","R","2675","1.67","1810","1.65","11566","89.6%","60.6%","1949","67.5%","3026","69.5%","4975","68.7%","6513","54.4%","14.3pp"
"Ghostly Dancers","W","R","2540","1.54","1878","1.52","12126","91.5%","60.6%","1954","63.4%","3061","68.5%","5015","66.5%","7104","56.3%","10.2pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","1180","1.43","903","1.41","5661","88.5%","60.5%","963","67.3%","1339","64.6%","2302","65.7%","3361","56.9%","8.9pp"
"Screaming Nemesis","R","M","1384","1.67","933","1.66","6161","91.6%","60.5%","1077","64.8%","1434","65.3%","2511","65.1%","3648","57.3%","7.8pp"
"Overlord of the Floodpits","U","M","1245","1.52","915","1.51","5798","90.7%","60.4%","954","65.6%","1567","65.9%","2521","65.8%","3298","56.3%","9.5pp"
"The Swarmweaver","BG","R","3139","1.83","2006","1.80","12885","90.4%","60.4%","2086","67.3%","3264","68.2%","5350","67.8%","7476","55.0%","12.8pp"
"Sheltered by Ghosts","W","U","8775","2.16","4285","2.34","27346","90.7%","60.4%","4445","63.2%","6582","65.3%","11027","64.4%","16309","57.6%","6.9pp"
"Silent Hallcreeper","U","R","2796","1.68","1863","1.69","11919","90.9%","60.3%","2061","66.1%","3106","63.5%","5167","64.5%","6784","57.1%","7.4pp"
"Splitskin Doll","W","U","13517","3.02","4490","3.54","28501","89.2%","60.2%","4944","62.3%","6623","62.7%","11567","62.5%","16858","58.6%","3.8pp"
"Floodpits Drowner","U","U","13569","2.99","5089","3.45","31931","89.1%","60.2%","5343","61.6%","9150","63.9%","14493","63.0%","18124","58.0%","5.1pp"
"Dissection Tools","","R","2437","1.42","2112","1.42","14744","99.0%","60.2%","2274","64.0%","3664","65.9%","5938","65.2%","8790","56.8%","8.4pp"
"Arabella, Abandoned Doll","WR","U","15870","3.84","4185","4.40","22011","74.1%","60.1%","3763","63.5%","4653","60.9%","8416","62.1%","13604","58.9%","3.2pp"
"Fear of Missing Out","R","R","3482","1.90","1950","1.95","12580","90.7%","60.1%","2183","63.3%","2862","64.1%","5045","63.7%","7545","57.7%","6.0pp"
"Zimone, All-Questioning","UG","R","3858","2.31","2092","2.33","12730","85.7%","60.1%","2115","67.4%","3309","63.9%","5424","65.3%","7288","56.3%","9.0pp"
"Balustrade Wurm","G","R","2766","1.70","1767","1.71","11555","91.4%","60.1%","1821","62.2%","2767","64.5%","4588","63.6%","6994","57.7%","5.9pp"
"Abhorrent Oculus","U","M","1368","1.57","992","1.53","6402","90.5%","60.0%","952","61.8%","1656","64.4%","2608","63.4%","3798","57.6%","5.9pp"
"Gremlin Tamer","WU","U","13163","3.31","4472","3.63","25995","81.8%","59.9%","4278","64.2%","6675","61.9%","10953","62.8%","15071","57.9%","4.9pp"
"Threats Around Every Corner","G","U","13679","3.10","4699","3.56","28447","85.4%","59.8%","4518","63.7%","7115","62.3%","11633","62.9%","16787","57.7%","5.2pp"
"Razorkin Hordecaller","R","U","14107","3.14","5125","3.62","32976","89.9%","59.7%","5002","62.7%","7547","63.2%","12549","63.0%","20468","57.7%","5.4pp"
"Inquisitive Glimmer","WU","U","16669","3.98","4055","4.80","22106","77.4%","59.7%","3667","62.3%","5593","59.8%","9260","60.8%","12849","58.9%","1.9pp"
"Enduring Innocence","W","R","2766","1.61","1677","1.61","10755","90.2%","59.7%","1788","65.2%","2557","61.6%","4345","63.1%","6402","57.3%","5.7pp"
"Fear of Isolation","U","U","12234","2.86","4969","3.16","31975","90.9%","59.7%","5235","60.4%","8543","65.7%","13778","63.7%","18228","56.7%","7.0pp"
"Under the Skin","G","U","12348","2.68","5233","3.04","34436","92.6%","59.7%","5630","62.0%","8492","65.5%","14122","64.1%","20301","56.6%","7.5pp"
"Toby, Beastie Befriender","W","R","3246","1.90","1775","1.97","11213","88.8%","59.7%","1881","64.7%","2660","62.7%","4541","63.5%","6641","57.0%","6.5pp"
"Entity Tracker","U","R","3148","1.89","1980","1.90","12867","92.4%","59.6%","2210","64.6%","3409","63.7%","5619","64.1%","7294","56.1%","7.9pp"
"Ethereal Armor","W","U","15664","3.60","3527","4.39","19747","78.6%","59.5%","3097","60.7%","4724","61.9%","7821","61.4%","11925","58.2%","3.2pp"
"Chainsaw","R","R","3039","1.80","1911","1.83","12578","93.0%","59.5%","2134","62.1%","2901","63.6%","5035","63.0%","7538","57.2%","5.7pp"
"The Wandering Rescuer","W","M","1250","1.49","851","1.51","5401","88.9%","59.5%","854","61.6%","1350","62.9%","2204","62.4%","3197","57.3%","5.1pp"
"Enduring Curiosity","U","R","2821","1.69","1825","1.69","11809","90.6%","59.4%","1962","65.2%","3149","63.3%","5111","64.1%","6734","55.9%","8.2pp"
"Stay Hidden, Stay Silent","U","U","13931","2.96","4980","3.48","32104","91.3%","59.4%","5189","59.9%","8664","64.3%","13853","62.6%","18267","56.9%","5.7pp"
"Glimmer Seeker","W","U","13894","3.11","3675","3.90","23293","89.1%","59.4%","3932","60.9%","5446","59.0%","9378","59.8%","13921","59.0%","0.9pp"
"Growing Dread","UG","U","18067","4.23","4604","5.08","23875","73.7%","59.4%","3874","61.8%","6206","62.2%","10080","62.1%","13787","57.4%","4.7pp"
"Irreverent Gremlin","R","U","15173","3.35","4951","4.03","31645","90.0%","59.3%","5392","62.7%","7119","59.5%","12511","60.9%","19126","58.3%","2.6pp"
"Unidentified Hovership","W","R","3445","1.99","1830","2.02","11320","87.0%","59.3%","1791","62.5%","2693","65.2%","4484","64.1%","6840","56.0%","8.1pp"
"The Rollercrusher Ride","R","M","1280","1.54","1001","1.56","6596","93.3%","59.3%","1051","60.4%","1653","66.8%","2704","64.3%","3872","55.7%","8.7pp"
"Overlord of the Balemurk","B","M","1234","1.48","832","1.47","5212","86.7%","59.2%","846","67.6%","1329","65.0%","2175","66.0%","3029","54.2%","11.8pp"
"Enduring Vitality","G","R","3591","2.02","1680","2.10","10803","90.3%","59.2%","1783","63.2%","2614","60.7%","4397","61.7%","6403","57.4%","4.3pp"
"Broodspinner","BG","U","15185","3.52","4778","4.07","26635","78.7%","59.2%","4479","61.2%","6629","64.3%","11108","63.0%","15478","56.4%","6.6pp"
"Unsettling Twins","W","C","59135","5.38","9974","7.43","49164","69.7%","59.2%","7467","61.5%","11343","61.4%","18810","61.4%","30221","57.7%","3.7pp"
"Disturbing Mirth","BR","U","20251","4.90","4663","5.69","20977","63.3%","59.2%","3433","63.5%","5270","64.2%","8703","63.9%","12236","55.7%","8.2pp"
"Glimmerburst","U","C","55228","5.02","11889","6.60","65234","77.6%","59.1%","10376","59.4%","17111","62.1%","27487","61.1%","37689","57.7%","3.4pp"
"Glimmerlight","","C","56976","5.07","12544","6.83","72435","81.1%","59.1%","12475","59.6%","16928","59.2%","29403","59.4%","43010","58.9%","0.5pp"
"Omnivorous Flytrap","G","R","3071","1.72","1857","1.77","12121","92.7%","59.1%","2003","60.5%","2973","62.4%","4976","61.6%","7122","57.2%","4.5pp"
"Painter's Studio // Defaced Gallery","R","U","15921","3.68","4603","4.39","27983","85.4%","59.1%","4696","58.5%","6463","62.2%","11159","60.7%","16759","58.0%","2.7pp"
"Vanish from Sight","U","C","64239","6.37","11629","8.73","51551","62.6%","59.0%","7677","58.6%","13607","62.1%","21284","60.8%","30268","57.8%","3.0pp"
"Patchwork Beastie","G","U","16547","3.69","4678","4.41","27879","84.0%","59.0%","4855","62.2%","6412","58.4%","11267","60.1%","16600","58.3%","1.7pp"
"Spineseeker Centipede","G","C","45103","4.01","11189","5.10","70392","88.6%","59.0%","11732","60.5%","16807","60.9%","28539","60.7%","41735","57.8%","3.0pp"
