"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Piggy Bank","R","U","14718","3.23","4864","3.84","31554","90.9%","58.9%","5464","62.8%","6960","59.9%","12424","61.1%","19146","57.5%","3.6pp"
"Cursed Windbreaker","U","U","18762","4.23","4239","5.42","23444","78.1%","58.9%","3817","59.1%","6006","62.6%","9823","61.3%","13620","57.3%","4.0pp"
"Shardmage's Rescue","W","U","16181","3.57","3975","4.47","23627","83.8%","58.9%","3636","60.7%","5631","58.9%","9267","59.6%","14347","58.4%","1.2pp"
"Break Down the Door","G","U","18064","3.75","4297","4.87","26000","85.3%","58.9%","4081","58.3%","6250","61.5%","10331","60.2%","15662","58.0%","2.2pp"
"Trapped in the Screen","W","C","32716","2.91","10116","3.57","65250","91.6%","58.9%","10547","59.4%","15921","62.0%","26468","60.9%","38728","57.5%","3.4pp"
"Betrayer's Bargain","R","U","13838","3.15","5032","3.63","32791","91.5%","58.9%","5046","58.6%","7753","62.9%","12799","61.2%","19963","57.4%","3.7pp"
"Unable to Scream","U","C","44642","3.93","11204","5.06","71383","90.4%","58.9%","11698","59.0%","19163","62.0%","30861","60.9%","40544","57.3%","3.6pp"
"Niko, Light of Hope","WU","M","1467","1.87","921","1.85","5592","85.1%","58.9%","890","63.6%","1487","62.3%","2377","62.8%","3222","55.9%","6.9pp"
"Surgical Suite // Hospital Room","W","U","12128","2.75","3692","3.27","22756","86.4%","58.8%","3613","60.4%","5328","61.4%","8941","61.0%","13766","57.4%","3.6pp"
"Clockwork Percussionist","R","C","55736","5.08","11482","6.64","66057","81.0%","58.8%","11199","61.0%","14617","58.6%","25816","59.6%","40198","58.3%","1.4pp"
"Manifest Dread","G","C","54631","4.88","11062","6.59","65851","84.0%","58.8%","11064","60.6%","15350","60.1%","26414","60.3%","39418","57.8%","2.5pp"
"Paranormal Analyst","U","U","17429","4.00","4624","4.76","23460","71.5%","58.8%","3991","60.1%","5958","60.1%","9949","60.1%","13516","57.8%","2.3pp"
"Wildfire Wickerfolk","RG","U","18376","4.42","4419","5.18","23123","73.1%","58.8%","3918","61.1%","5036","62.0%","8954","61.6%","14184","56.9%","4.7pp"
"Unstoppable Slasher","B","R","2551","1.56","1740","1.55","11284","91.7%","58.7%","1961","67.9%","2885","61.6%","4846","64.2%","6413","54.6%","9.6pp"
"Bottomless Pool // Locker Room","U","U","12617","2.87","4511","3.34","28913","91.0%","58.7%","4776","58.2%","7599","62.2%","12375","60.6%","16387","57.2%","3.4pp"
"Exorcise","W","U","13834","3.07","3755","3.82","23277","87.5%","58.7%","3635","58.9%","5537","62.6%","9172","61.1%","14073","57.1%","4.1pp"
"Friendly Ghost","W","C","65309","6.37","8285","9.26","29127","49.7%","58.7%","4379","58.8%","6602","59.8%","10981","59.4%","18112","58.2%","1.1pp"
"Veteran Survivor","W","U","19095","4.12","3381","5.49","18492","76.8%","58.6%","3094","63.7%","3990","56.5%","7084","59.6%","11367","58.0%","1.7pp"
"Monstrous Emergence","G","C","46967","4.13","10417","5.44","64634","87.7%","58.6%","10530","58.8%","15442","60.8%","25972","60.0%","38648","57.7%","2.3pp"
"Defiant Survivor","G","U","14694","3.21","3691","4.00","23061","87.8%","58.6%","3828","59.8%","5463","59.1%","9291","59.4%","13725","58.0%","1.4pp"
"Overlord of the Hauntwoods","G","M","1320","1.57","815","1.57","5175","89.0%","58.6%","850","64.1%","1331","60.1%","2181","61.7%","3006","56.2%","5.5pp"
"Beastie Beatdown","RG","U","19550","4.51","4698","5.54","24303","72.6%","58.6%","3733","58.5%","5513","61.5%","9246","60.3%","15044","57.5%","2.8pp"
"Turn Inside Out","R","C","60272","5.67","10657","7.78","53178","70.5%","58.6%","8018","58.9%","11731","60.2%","19749","59.6%","33420","58.0%","1.7pp"
"Abandoned Campground","","C","33357","6.10","5778","8.55","26992","66.2%","58.6%","5252","59.5%","6406","57.6%","11658","58.5%","15325","58.6%","-0.1pp"
"Lakeside Shack","","C","33766","6.20","6157","8.56","28423","65.4%","58.5%","5446","60.4%","6929","57.9%","12375","59.0%","16034","58.2%","0.8pp"
"Bashful Beastie","G","C","61476","5.69","10093","8.06","53375","74.3%","58.5%","7783","57.7%","13333","60.1%","21116","59.2%","32330","58.0%","1.2pp"
"Insidious Fungus","G","U","18698","3.72","4403","4.84","26521","85.5%","58.5%","4397","61.6%","6406","59.9%","10803","60.6%","15675","56.9%","3.7pp"
"Reluctant Role Model","W","R","3336","1.90","1596","1.98","10148","89.1%","58.5%","1783","62.6%","2363","57.2%","4146","59.5%","5992","57.7%","1.8pp"
"Fear of Surveillance","W","C","49914","4.27","9157","5.90","57841","88.7%","58.4%","10067","59.0%","13079","58.5%","23146","58.7%","34646","58.2%","0.5pp"
"Fear of Being Hunted","R","U","16704","3.70","4458","4.56","27752","87.1%","58.4%","4502","59.6%","6179","59.7%","10681","59.7%","17086","57.6%","2.1pp"
"Scorching Dragonfire","R","C","35313","3.20","12064","3.81","78342","91.8%","58.4%","13080","58.8%","18165","60.1%","31245","59.6%","47065","57.6%","2.0pp"
"Grand Entryway // Elegant Rotunda","W","C","50990","4.26","9444","5.79","55135","82.4%","58.4%","9270","57.1%","13149","59.3%","22419","58.4%","32636","58.3%","0.1pp"
"Terramorphic Expanse","","C","50951","4.13","12324","5.72","84199","96.6%","58.3%","16204","59.9%","19421","56.9%","35625","58.3%","48533","58.4%","-0.1pp"
"Roaring Furnace // Steaming Sauna","UR","R","4812","2.80","2151","2.88","12695","83.1%","58.3%","2154","63.0%","3268","64.2%","5422","63.7%","7118","54.1%","9.6pp"
"Meat Locker // Drowned Diner","U","C","51370","4.53","10264","6.17","59930","82.8%","58.3%","9585","56.1%","15430","62.8%","25015","60.3%","34618","56.9%","3.4pp"
"Wary Watchdog","G","C","56145","4.98","10573","6.85","63004","84.1%","58.3%","10699","59.6%","14409","59.7%","25108","59.7%","37773","57.3%","2.4pp"
"Say Its Name","G","C","56162","5.19","11089","6.96","51825","65.8%","58.3%","8608","57.2%","11879","60.3%","20487","59.0%","31288","57.8%","1.2pp"
"Fear of Burning Alive","R","U","14291","3.30","4495","3.88","27456","85.6%","58.2%","3847","57.2%","6550","62.5%","10397","60.5%","17033","56.8%","3.7pp"
"Razorkin Needlehead","R","R","4838","2.69","1406","3.06","8680","86.0%","58.2%","1397","63.2%","1889","58.0%","3286","60.2%","5403","57.0%","3.2pp"
"Drag to the Roots","BG","U","18103","4.05","4066","5.20","22288","77.1%","58.2%","3409","58.1%","5490","62.3%","8899","60.6%","13322","56.5%","4.1pp"
"Ragged Playmate","R","C","64499","6.27","10220","8.74","46744","64.3%","58.2%","7921","58.0%","9930","56.9%","17851","57.4%","28869","58.7%","-1.3pp"
"Seized from Slumber","W","C","55278","4.85","8127","6.96","42252","73.3%","58.2%","6605","58.9%","10213","60.4%","16818","59.8%","25395","57.1%","2.7pp"
"Conductive Machete","","U","20259","4.13","4819","5.42","28441","83.2%","58.2%","4483","57.6%","6868","60.5%","11351","59.3%","17073","57.4%","1.9pp"
"Lionheart Glimmer","W","U","16633","3.69","3488","4.70","20520","82.4%","58.2%","2908","59.2%","4771","58.7%","7679","58.9%","12812","57.7%","1.2pp"
"Underwater Tunnel // Slimy Aquarium","U","C","57015","5.08","10347","7.13","57100","78.2%","58.2%","10028","58.0%","14794","61.0%","24822","59.8%","32143","56.9%","2.9pp"
"Sawblade Skinripper","BR","U","20637","4.96","3823","6.30","17560","64.3%","58.1%","2821","59.3%","4498","60.2%","7319","59.9%","10239","56.9%","3.0pp"
"Vengeful Possession","R","U","22777","5.23","3766","7.13","14783","55.4%","58.1%","2249","59.1%","3454","61.6%","5703","60.6%","9063","56.6%","4.0pp"
"Fear of Immobility","W","C","63833","5.90","8862","8.52","38100","60.3%","58.1%","5410","57.6%","9078","59.5%","14488","58.8%","23614","57.6%","1.2pp"
"Piranha Fly","U","C","67179","6.98","9642","9.86","30141","44.0%","58.1%","4942","58.3%","7524","58.2%","12466","58.2%","17683","58.0%","0.2pp"
"Glassworks // Shattered Yard","R","C","40088","3.55","11092","4.50","71089","90.2%","58.1%","11629","58.6%","16693","60.8%","28322","59.9%","42536","56.9%","3.1pp"
"Hand That Feeds","R","C","61291","5.78","10169","8.16","51396","70.8%","58.1%","8522","57.2%","11297","57.8%","19819","57.5%","31545","58.4%","-0.9pp"
"Norin, Swift Survivalist","R","U","23926","5.33","3818","7.34","15726","58.0%","58.0%","2672","61.2%","3263","55.5%","5935","58.1%","9787","58.0%","0.1pp"
"Raucous Carnival","","C","34045","6.40","5573","9.04","23114","58.1%","58.0%","4412","59.4%","5071","55.5%","9483","57.3%","13622","58.5%","-1.2pp"
"Floodfarm Verge","","R","8899","4.32","1605","6.27","7243","62.9%","58.0%","1420","57.5%","1681","57.8%","3101","57.7%","4135","58.3%","-0.6pp"
"Phantasmal Image","U","M","398","","167","","959","83.3%","58.0%","170","","239","","409","","550","58.4%",""
"Ticket Booth // Tunnel of Hate","R","C","61437","5.75","10333","8.09","46134","62.8%","58.0%","7412","59.3%","10596","60.4%","18008","59.9%","28079","56.7%","3.2pp"
"Fear of Falling","U","U","17618","3.94","4053","5.07","24314","84.9%","58.0%","3567","57.2%","6533","60.7%","10100","59.4%","14294","56.8%","2.6pp"
"Twist Reality","U","C","65124","6.52","9867","9.24","35710","51.3%","57.9%","5381","57.4%","9595","60.1%","14976","59.1%","20727","57.1%","2.0pp"
"Enduring Courage","R","R","3317","1.97","1673","1.99","10730","89.3%","57.9%","1665","60.1%","2547","58.2%","4212","59.0%","6543","57.2%","1.7pp"
"Ghost Vacuum","","R","3972","2.26","1747","2.44","9878","80.4%","57.9%","1618","61.2%","2471","60.5%","4089","60.8%","5794","55.9%","4.9pp"
"Duskmourn's Domination","U","U","25411","5.95","4074","8.27","13576","46.5%","57.8%","1832","57.9%","3590","60.6%","5422","59.7%","8166","56.5%","3.2pp"
"Patched Plaything","W","U","18438","4.06","3741","5.28","21033","79.4%","57.8%","3443","56.9%","4782","57.4%","8225","57.2%","12821","58.1%","-0.9pp"
"Fear of Abduction","W","U","15933","3.58","3660","4.51","20316","78.1%","57.8%","2678","57.1%","4985","61.4%","7663","59.9%","12691","56.5%","3.4pp"
"Tunnel Surveyor","U","C","58791","5.42","10591","7.47","55494","74.4%","57.8%","8979","57.9%","14423","59.7%","23402","59.0%","32055","56.9%","2.1pp"
"Slavering Branchsnapper","G","C","62780","5.81","8950","8.48","44700","70.0%","57.8%","7225","56.9%","10686","58.8%","17911","58.0%","26805","57.5%","0.5pp"
"Most Valuable Slayer","R","C","56761","5.18","10978","7.03","61743","79.3%","57.8%","9391","57.9%","13957","58.4%","23348","58.2%","38420","57.6%","0.6pp"
"Moldering Gym // Weight Room","G","C","56492","5.05","8848","7.19","45760","72.6%","57.8%","7581","58.9%","11208","59.8%","18789","59.5%","26891","56.6%","2.8pp"
"Osseous Sticktwister","B","U","13324","2.95","3768","3.60","23231","87.7%","57.7%","3972","58.4%","5794","60.0%","9766","59.3%","13396","56.5%","2.9pp"
"Hauntwoods Shrieker","G","M","1329","1.67","845","1.67","5413","90.3%","57.7%","883","60.0%","1314","59.3%","2197","59.6%","3218","56.3%","3.2pp"
"Twitching Doll","G","R","3065","1.73","1848","1.78","11884","91.0%","57.7%","2070","63.2%","2848","57.7%","4918","60.0%","6974","56.1%","4.0pp"
"Cathartic Parting","G","U","23467","5.29","4070","7.30","16415","57.3%","57.7%","2444","55.9%","4070","59.2%","6514","58.0%","9912","57.5%","0.5pp"
"Hallowed Haunting","W","M","347","","113","","553","70.5%","57.7%","84","","139","","223","","330","",""
"Rootwise Survivor","G","U","22441","5.13","3427","7.30","13665","55.9%","57.7%","1955","58.1%","3153","60.3%","5108","59.4%","8520","56.5%","2.9pp"
"Altanak, the Thrice-Called","G","U","15720","3.53","3667","4.48","20291","78.4%","57.6%","2863","57.2%","4798","59.4%","7661","58.6%","12624","57.0%","1.6pp"
"Waltz of Rage","R","R","5190","3.01","1805","3.27","9414","73.1%","57.6%","1410","57.1%","2197","60.6%","3607","59.2%","5796","56.7%","2.6pp"
"Wickerfolk Thresher","G","U","13712","3.02","4083","3.66","26637","91.6%","57.5%","4274","57.1%","6547","58.9%","10821","58.2%","15845","57.0%","1.2pp"
"Valgavoth's Lair","","R","6452","3.09","1616","3.96","11002","96.3%","57.5%","2118","58.4%","2562","56.7%","4680","57.5%","6314","57.6%","-0.1pp"
"Jump Scare","W","C","65716","6.50","8678","9.35","29590","47.9%","57.5%","4205","57.8%","6398","58.3%","10603","58.1%","18981","57.1%","1.1pp"
"Orphans of the Wheat","W","U","20678","4.71","3114","6.42","14737","66.7%","57.4%","2376","60.2%","3260","55.5%","5636","57.5%","9067","57.3%","0.1pp"
"Frantic Strength","G","C","69496","7.74","7919","11.36","10815","19.2%","57.4%","1559","57.5%","2431","58.8%","3990","58.3%","6826","56.8%","1.5pp"
"Bleeding Woods","","C","33898","6.35","5934","8.91","25834","61.4%","57.4%","4949","58.1%","5615","56.1%","10564","57.0%","15262","57.6%","-0.6pp"
"Coordinated Clobbering","G","U","18362","3.99","3597","5.24","20043","78.0%","57.4%","3015","58.9%","4831","59.2%","7846","59.1%","12203","56.3%","2.8pp"
"Get Out","U","U","22342","5.06","4068","6.86","19112","66.8%","57.4%","2999","55.6%","4965","61.0%","7964","59.0%","11146","56.2%","2.8pp"
"Overgrown Zealot","G","U","16496","3.61","3797","4.60","22745","84.3%","57.3%","3922","61.0%","5277","56.0%","9199","58.2%","13476","56.7%","1.5pp"
"Fear of Exposure","G","U","18963","4.14","3249","5.61","18515","80.2%","57.3%","2816","56.5%","4389","58.2%","7205","57.5%","11296","57.0%","0.6pp"
"Hedge Shredder","G","R","4642","2.48","1664","2.72","9914","84.4%","57.3%","1534","57.4%","2353","59.7%","3887","58.8%","6021","56.4%","2.5pp"
"Strangled Cemetery","","C","32999","6.03","5563","8.39","26073","66.1%","57.3%","5183","58.1%","5842","56.8%","11025","57.4%","15018","57.2%","0.2pp"
"Vicious Clown","R","C","66311","6.95","8817","9.93","28477","45.3%","57.3%","4533","57.0%","6083","54.8%","10616","55.7%","17850","58.2%","-2.5pp"
"Acrobatic Cheerleader","W","C","59923","5.55","8425","7.95","40203","67.2%","57.3%","6751","57.8%","8790","55.1%","15541","56.3%","24603","57.9%","-1.6pp"
"Innocuous Rat","B","C","59515","5.63","8564","7.95","42593","70.5%","57.2%","7213","58.7%","10374","59.6%","17587","59.2%","24918","55.9%","3.3pp"
"Diversion Specialist","R","U","23496","5.32","3904","7.28","16988","60.6%","57.2%","2554","57.0%","4075","58.1%","6629","57.7%","10392","57.0%","0.7pp"
"Flesh Burrower","G","C","59462","5.34","8622","7.78","47189","76.9%","57.2%","7779","58.1%","10896","57.5%","18675","57.7%","28443","56.8%","1.0pp"
"Valgavoth, Terror Eater","B","M","1713","2.04","675","2.03","3390","70.9%","57.2%","435","","836","60.4%","1271","58.3%","2109","56.6%","1.7pp"
"Mirror Room // Fractured Realm","U","M","2225","2.44","866","2.55","5011","81.4%","57.1%","812","56.0%","1339","60.1%","2151","58.6%","2825","56.0%","2.6pp"
"Undead Sprinter","BR","R","6132","3.61","1716","3.98","8226","67.4%","57.1%","1381","61.8%","1963","57.1%","3344","59.0%","4895","55.8%","3.3pp"
"Popular Egotist","B","U","22831","5.21","3678","7.10","15877","61.4%","57.1%","2583","56.3%","3967","59.7%","6550","58.4%","9323","56.2%","2.2pp"
"House Cartographer","G","U","18176","3.94","3589","5.22","20749","80.9%","57.0%","3565","60.1%","4582","56.7%","8147","58.2%","12554","56.2%","2.0pp"
"The Jolly Balloon Man","WR","R","5115","2.98","1756","3.24","9378","75.3%","57.0%","1532","55.9%","2128","58.7%","3660","57.5%","5702","56.8%","0.8pp"
"Stalked Researcher","U","C","65080","6.52","9709","9.23","41047","59.8%","57.0%","6576","57.4%","10439","58.0%","17015","57.8%","24026","56.5%","1.3pp"
"Commune with Evil","B","U","23171","5.36","3592","7.32","13852","54.8%","57.0%","2278","58.0%","3449","62.0%","5727","60.4%","8077","54.5%","5.9pp"
"Come Back Wrong","B","R","4301","2.32","1562","2.63","9565","87.3%","57.0%","1608","57.6%","2404","62.2%","4012","60.4%","5514","54.6%","5.8pp"
"Final Vengeance","B","C","56329","5.22","9674","7.02","49025","71.5%","57.0%","7689","55.9%","12445","61.6%","20134","59.4%","28747","55.2%","4.2pp"
"Fanatic of the Harrowing","B","C","67026","7.00","8090","10.11","21519","37.5%","56.9%","3275","59.2%","5539","59.8%","8814","59.6%","12612","55.1%","4.5pp"
"Sporogenic Infection","B","U","17405","3.89","3490","5.08","19681","79.4%","56.9%","3242","57.4%","4870","60.8%","8112","59.4%","11505","55.1%","4.3pp"
"Unwilling Vessel","U","U","16773","3.75","3746","4.76","21999","83.4%","56.9%","3553","57.4%","5774","58.1%","9327","57.8%","12679","56.1%","1.7pp"
"Nowhere to Run","B","U","12080","2.77","3874","3.28","24278","88.4%","56.9%","3940","57.6%","6158","60.7%","10098","59.5%","14069","54.9%","4.6pp"
"Hushwood Verge","","R","9549","4.65","1454","6.98","4733","45.8%","56.9%","866","57.4%","1035","55.6%","1901","56.4%","2830","57.1%","-0.7pp"
"Live or Die","B","U","16089","3.59","3502","4.51","19756","80.0%","56.8%","2899","55.5%","5018","62.1%","7917","59.7%","11725","54.8%","4.9pp"
"Trial of Agony","R","U","22743","5.18","3655","7.18","14810","56.9%","56.8%","2204","56.2%","3229","55.3%","5433","55.7%","9381","57.5%","-1.8pp"
"Saw","","U","28609","7.06","3551","10.34","5089","20.3%","56.8%","772","50.5%","1227","59.6%","1999","56.1%","3088","57.2%","-1.1pp"
"Split Up","W","R","3973","2.22","1435","2.38","8425","82.5%","56.8%","1322","57.3%","2057","60.2%","3379","59.1%","5024","55.3%","3.8pp"
"Thornspire Verge","","R","9529","4.46","1695","6.41","7441","61.7%","56.8%","1408","56.3%","1606","56.7%","3014","56.5%","4419","56.9%","-0.4pp"
"Don't Make a Sound","U","C","67201","6.94","8851","10.16","22739","36.4%","56.7%","3684","59.1%","5813","57.3%","9497","58.0%","13239","55.7%","2.2pp"
"Ripchain Razorkin","R","C","69287","7.72","8574","11.19","12552","20.6%","56.7%","1927","57.2%","2964","58.1%","4891","57.8%","7684","55.9%","1.8pp"
"Razortrap Gorge","","C","33883","6.46","5616","9.04","22035","55.3%","56.7%","4295","57.3%","5284","55.8%","9579","56.5%","12438","56.8%","-0.3pp"
