"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Garruk's Uprising","G","U","0","","0","","1481","26.8%","53.2%","251","","331","","582","49.7%","901","55.4%","-5.7pp"
"Fanatical Firebrand","R","C","0","","0","","2585","19.5%","53.2%","471","","563","48.7%","1034","51.2%","1550","54.6%","-3.4pp"
"Bite Down","G","C","0","","0","","6741","49.6%","53.2%","1123","52.5%","1518","57.0%","2641","55.1%","4097","51.9%","3.2pp"
"Infestation Sage","B","C","0","","0","","4355","32.1%","53.2%","810","55.2%","1014","51.9%","1824","53.3%","2524","53.1%","0.3pp"
"Affectionate Indrik","G","U","0","","0","","2481","46.6%","53.1%","403","","599","56.1%","1002","54.2%","1467","52.1%","2.1pp"
"Involuntary Employment","R","C","0","","0","","1314","9.4%","53.1%","219","","289","","508","54.3%","807","52.4%","1.9pp"
"Claws Out","W","U","0","","0","","1128","21.7%","53.1%","184","","278","","462","","667","54.7%",""
"Hungry Ghoul","B","C","0","","0","","4541","34.0%","53.1%","755","51.0%","1150","54.3%","1905","53.0%","2622","53.2%","-0.2pp"
"Heartfire Immolator","R","U","0","","0","","1588","30.2%","53.0%","292","","321","","613","52.2%","973","53.3%","-1.1pp"
"Courageous Goblin","R","C","0","","0","","2774","20.2%","53.0%","481","","599","48.4%","1080","51.5%","1688","53.8%","-2.3pp"
"Goblin Boarders","R","C","0","","0","","2998","22.1%","53.0%","523","51.6%","686","53.2%","1209","52.5%","1787","53.2%","-0.6pp"
"Zul Ashur, Lich Lord","B","R","0","","0","","725","29.3%","53.0%","128","","175","","303","","421","",""
"High Fae Trickster","U","R","0","","0","","1233","51.6%","53.0%","212","","327","","539","55.3%","698","50.9%","4.4pp"
"Ghalta, Primal Hunger","G","R","0","","0","","1569","62.0%","52.9%","267","","359","","626","53.5%","942","52.1%","1.4pp"
"Treetop Snarespinner","G","C","0","","0","","5369","41.0%","52.9%","906","50.4%","1250","54.8%","2156","53.0%","3197","52.8%","0.2pp"
