"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Season of Loss","B","M","0","","0","","1936","69.9%","62.5%","329","","498","","827","68.8%","1093","57.5%","11.3pp"
"Sword of Fire and Ice","","M","0","","0","","551","94.8%","60.1%","95","","131","","226","","322","",""
"Fecund Greenshell","G","R","0","","0","","4655","83.0%","59.7%","814","65.4%","1173","65.8%","1987","65.6%","2671","55.4%","10.3pp"
"Vinereap Mentor","BG","U","0","","0","","3943","33.7%","59.7%","680","64.6%","983","65.2%","1663","64.9%","2242","55.6%","9.3pp"
"Fell","B","U","0","","0","","7720","64.3%","59.1%","1357","60.3%","1931","64.8%","3288","63.0%","4363","56.2%","6.8pp"
"Season of the Burrow","W","M","0","","0","","1798","69.4%","59.0%","273","","415","","688","61.9%","1107","57.3%","4.6pp"
"Mabel, Heir to Cragflame","WR","R","0","","0","","2691","51.4%","58.9%","446","","613","65.3%","1059","65.0%","1625","54.8%","10.2pp"
"Thought-Stalker Warlock","B","U","0","","0","","7115","55.5%","58.8%","1309","63.7%","1762","60.5%","3071","61.9%","3997","56.4%","5.5pp"
"Scales of Shale","B","C","0","","0","","6610","22.4%","58.8%","1018","59.6%","1568","60.9%","2586","60.4%","3990","57.7%","2.7pp"
"Beza, the Bounding Spring","W","M","0","","0","","1905","70.1%","58.7%","333","","458","","791","63.3%","1108","55.3%","8.0pp"
"Innkeeper's Talent","G","R","0","","0","","5036","85.1%","58.6%","913","67.8%","1225","63.1%","2138","65.1%","2877","53.7%","11.4pp"
"Maha, Its Feathers Night","B","M","0","","0","","2305","82.6%","58.6%","364","","596","64.6%","960","64.7%","1331","54.2%","10.4pp"
"Zoraline, Cosmos Caller","WB","R","0","","0","","3474","59.5%","58.6%","614","64.7%","868","64.4%","1482","64.5%","1951","53.8%","10.7pp"
"Tender Wildguide","G","R","0","","0","","4402","79.6%","58.5%","822","64.1%","988","59.0%","1810","61.3%","2584","56.6%","4.7pp"
"Dragonhawk, Fate's Tempest","R","M","0","","0","","2168","76.8%","58.4%","362","","531","64.8%","893","64.3%","1275","54.4%","9.9pp"
"Persistent Marshstalker","B","U","0","","0","","3993","32.1%","58.4%","703","57.8%","981","60.0%","1684","59.1%","2293","57.8%","1.3pp"
"Warren Warleader","W","M","0","","0","","2449","82.0%","58.4%","434","","607","62.3%","1041","62.1%","1400","55.6%","6.5pp"
"Downwind Ambusher","B","U","0","","0","","6279","50.3%","58.2%","1034","58.5%","1568","60.4%","2602","59.6%","3654","57.2%","2.4pp"
"Hunter's Talent","G","U","0","","0","","8958","72.9%","58.1%","1518","59.0%","2231","62.9%","3749","61.3%","5169","55.6%","5.7pp"
"Valley Questcaller","W","R","0","","0","","3875","71.8%","58.1%","705","65.2%","917","61.1%","1622","62.9%","2218","54.5%","8.4pp"
"Wick's Patrol","B","U","0","","0","","6127","49.9%","58.0%","922","56.4%","1499","65.4%","2421","62.0%","3678","55.4%","6.6pp"
"Ygra, Eater of All","BG","M","0","","0","","2438","80.3%","58.0%","437","","623","65.2%","1060","64.3%","1365","53.1%","11.2pp"
"Moonstone Harbinger","B","U","0","","0","","4869","39.7%","57.9%","897","58.3%","1171","59.7%","2068","59.1%","2754","56.9%","2.2pp"
"Overprotect","G","U","0","","0","","7170","59.1%","57.8%","1124","56.9%","1744","62.3%","2868","60.2%","4270","56.2%","4.0pp"
"Savor","B","C","0","","0","","15569","53.8%","57.8%","2759","59.1%","3714","60.6%","6473","59.9%","8987","56.2%","3.7pp"
"Keen-Eyed Curator","G","R","0","","0","","3920","72.0%","57.8%","660","61.7%","950","61.9%","1610","61.8%","2302","55.0%","6.8pp"
"Brightblade Stoat","W","U","0","","0","","6772","54.9%","57.7%","1272","60.1%","1498","58.5%","2770","59.2%","3976","56.6%","2.6pp"
"Warren Elder","W","C","0","","0","","12650","43.7%","57.6%","2220","59.1%","2880","58.7%","5100","58.9%","7480","56.8%","2.1pp"
"Patchwork Banner","","U","0","","0","","6252","51.2%","57.6%","1096","61.9%","1537","58.5%","2633","59.9%","3597","55.9%","4.0pp"
"Intrepid Rabbit","W","C","0","","0","","14440","49.8%","57.6%","2530","58.2%","3320","59.8%","5850","59.1%","8501","56.4%","2.8pp"
"Ruthless Negotiation","B","U","0","","0","","2429","19.7%","57.6%","438","","598","57.2%","1036","57.8%","1385","57.3%","0.6pp"
"Galewind Moose","G","U","0","","0","","8170","64.0%","57.5%","1276","60.8%","2038","61.4%","3314","61.2%","4848","54.9%","6.3pp"
"Osteomancer Adept","B","R","0","","0","","3527","64.3%","57.5%","641","62.7%","839","60.3%","1480","61.4%","2023","54.5%","6.8pp"
"Manifold Mouse","R","R","0","","0","","2750","48.2%","57.4%","512","66.6%","619","60.6%","1131","63.3%","1609","53.2%","10.1pp"
"Lumra, Bellow of the Woods","G","M","0","","0","","2216","81.7%","57.4%","364","","552","63.6%","916","61.4%","1300","54.6%","6.7pp"
"Nocturnal Hunger","B","C","0","","0","","17067","57.5%","57.3%","2926","57.0%","4178","59.6%","7104","58.5%","9837","56.4%","2.1pp"
"Driftgloom Coyote","W","U","0","","0","","6656","52.7%","57.3%","1065","58.7%","1619","58.9%","2684","58.8%","3954","56.0%","2.8pp"
"Carrot Cake","W","C","0","","0","","11848","40.1%","57.2%","2074","58.0%","2823","59.1%","4897","58.6%","6923","56.2%","2.4pp"
"Bakersbane Duo","G","C","0","","0","","17455","59.1%","57.2%","3125","60.1%","4133","57.8%","7258","58.8%","10108","56.0%","2.9pp"
"Iridescent Vinelasher","B","R","0","","0","","3442","60.2%","57.2%","654","61.0%","781","58.9%","1435","59.9%","1986","55.1%","4.8pp"
"Starfall Invocation","W","R","0","","0","","3268","58.0%","57.2%","556","55.4%","790","60.9%","1346","58.6%","1907","56.2%","2.5pp"
