"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Strongbox Raider","R","U","24419","4.91","4721","6.47","18622","67.6%","54.9%","3117","52.5%","4103","56.6%","7220","54.8%","11415","55.0%","-0.2pp"
"Sphinx of Forgotten Lore","U","M","1763","1.78","1100","1.75","5503","87.1%","54.9%","932","55.3%","1568","59.9%","2500","58.2%","3006","52.1%","6.1pp"
"Abyssal Harvester","B","R","4600","2.17","2213","2.26","11178","87.9%","54.8%","1917","57.8%","2902","56.3%","4819","56.9%","6362","53.2%","3.6pp"
"Claws Out","W","U","27426","5.54","4525","7.48","14886","56.1%","54.8%","2389","51.9%","3457","54.0%","5846","53.2%","9035","55.8%","-2.7pp"
"Tinybones, Bauble Burglar","B","R","5282","2.39","2128","2.47","10311","85.4%","54.8%","1890","57.5%","2605","56.5%","4495","56.9%","5806","53.2%","3.8pp"
"Ruby, Daring Tracker","RG","U","23519","5.05","3913","6.41","13816","61.2%","54.8%","2436","57.2%","2857","54.1%","5293","55.6%","8502","54.2%","1.4pp"
"Inspiring Paladin","W","C","67886","5.22","10067","7.38","38373","65.6%","54.7%","6817","55.4%","8650","53.2%","15467","54.2%","22954","55.1%","-0.9pp"
"Dismal Backwater","","C","40714","6.71","7406","9.14","24398","57.0%","54.7%","4550","57.1%","6534","57.1%","11084","57.1%","13257","52.7%","4.3pp"
"Heraldic Banner","","U","24743","4.62","3804","6.40","13469","61.3%","54.7%","2339","55.4%","3090","54.6%","5429","54.9%","8037","54.6%","0.3pp"
"Make Your Move","W","C","72023","5.60","9441","8.23","32026","58.3%","54.7%","5431","53.5%","7706","56.7%","13137","55.4%","18872","54.2%","1.2pp"
"Uncharted Voyage","U","C","77343","6.52","14032","8.69","50788","63.0%","54.7%","8447","53.0%","13828","58.4%","22275","56.4%","28458","53.3%","3.0pp"
"Savannah Lions","W","U","26741","5.33","3952","7.45","13852","60.4%","54.7%","2549","54.6%","2985","51.7%","5534","53.1%","8280","55.7%","-2.7pp"
"Seeker's Folly","B","U","27136","5.49","4260","7.53","12432","50.9%","54.7%","2176","54.8%","3195","57.7%","5371","56.5%","7056","53.3%","3.2pp"
"Nessian Hornbeetle","G","U","17941","3.50","4018","4.33","20646","88.4%","54.6%","3838","57.7%","4453","54.7%","8291","56.1%","12317","53.5%","2.6pp"
"Ravenous Amulet","","U","32509","7.12","4484","9.97","6745","26.1%","54.6%","1137","55.2%","1691","54.4%","2828","54.7%","3910","54.4%","0.3pp"
"Elvish Regrower","G","U","16428","3.23","4606","3.84","23537","88.0%","54.5%","3888","53.2%","5499","58.5%","9387","56.3%","14086","53.2%","3.1pp"
"Krenko, Mob Boss","R","R","4360","2.14","2197","2.11","10881","86.1%","54.5%","1948","56.6%","2490","55.7%","4438","56.1%","6485","53.5%","2.6pp"
"Rune-Scarred Demon","B","R","5245","2.58","2114","2.70","9910","81.9%","54.5%","1635","52.2%","2536","60.3%","4171","57.1%","5693","52.3%","4.8pp"
"Frenzied Goblin","R","U","28714","6.09","4232","8.41","11730","47.9%","54.5%","2064","55.1%","2534","51.3%","4598","53.0%","7114","55.4%","-2.4pp"
"Fleeting Distraction","U","C","74936","6.18","13965","8.26","56114","70.0%","54.4%","9729","52.6%","14663","57.4%","24392","55.5%","29548","53.2%","2.3pp"
"Evolving Wilds","","C","68471","4.79","14062","6.72","75633","93.0%","54.4%","14120","55.9%","18094","53.2%","32214","54.4%","43322","54.4%","-0.0pp"
