"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sire of Seven Deaths","","M","0","","0","","0","","","0","","0","","0","","0","",""
"Arahbo, the First Fang","W","R","0","","0","","0","","","0","","0","","0","","0","",""
"Armasaur Guide","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Cat Collector","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Celestial Armor","W","R","0","","0","","0","","","0","","0","","0","","0","",""
"Claws Out","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Crystal Barricade","W","R","0","","0","","0","","","0","","0","","0","","0","",""
"Dauntless Veteran","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Dazzling Angel","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Divine Resilience","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Exemplar of Light","W","R","0","","0","","0","","","0","","0","","0","","0","",""
"Felidar Savior","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Fleeting Flight","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Guarded Heir","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Hare Apparent","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Helpful Hunter","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Herald of Eternal Dawn","W","M","0","","0","","0","","","0","","0","","0","","0","",""
"Inspiring Paladin","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Joust Through","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Luminous Rebuke","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Prideful Parent","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Raise the Past","W","R","0","","0","","0","","","0","","0","","0","","0","",""
"Skyknight Squire","W","R","0","","0","","0","","","0","","0","","0","","0","",""
"Squad Rallier","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Sun-Blessed Healer","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Twinblade Blessing","W","U","0","","0","","0","","","0","","0","","0","","0","",""
"Valkyrie's Call","W","M","0","","0","","0","","","0","","0","","0","","0","",""
"Vanguard Seraph","W","C","0","","0","","0","","","0","","0","","0","","0","",""
"Arcane Epiphany","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"Archmage of Runes","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Bigfin Bouncer","U","C","0","","0","","0","","","0","","0","","0","","0","",""
"Cephalid Inkmage","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"Clinquant Skymage","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"Curator of Destinies","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Drake Hatcher","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Elementalist Adept","U","C","0","","0","","0","","","0","","0","","0","","0","",""
"Erudite Wizard","U","C","0","","0","","0","","","0","","0","","0","","0","",""
"Faebloom Trick","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"Grappling Kraken","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"High Fae Trickster","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Homunculus Horde","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Icewind Elemental","U","C","0","","0","","0","","","0","","0","","0","","0","",""
"Inspiration from Beyond","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"Kaito, Cunning Infiltrator","U","M","0","","0","","0","","","0","","0","","0","","0","",""
"Kiora, the Rising Tide","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Lunar Insight","U","R","0","","0","","0","","","0","","0","","0","","0","",""
"Mischievous Mystic","U","U","0","","0","","0","","","0","","0","","0","","0","",""
"Refute","U","C","0","","0","","0","","","0","","0","","0","","0","",""
