"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Overlord of the Mistmoors","W","M","0","","0","","3096","91.2%","63.0%","563","73.4%","750","71.1%","1313","72.0%","1778","56.4%","15.7pp"
"Valgavoth's Onslaught","G","R","0","","0","","5637","87.8%","60.2%","986","68.7%","1316","70.1%","2302","69.5%","3331","53.8%","15.7pp"
"Tyvar, the Pummeler","G","M","0","","0","","2563","79.8%","60.2%","461","","593","67.5%","1054","66.2%","1505","55.7%","10.5pp"
"Toby, Beastie Befriender","W","R","0","","0","","4363","72.0%","60.1%","783","67.4%","1082","63.2%","1865","65.0%","2481","56.3%","8.7pp"
"Unnerving Grasp","U","U","0","","0","","5747","43.1%","59.6%","940","61.5%","1554","65.9%","2494","64.2%","3242","55.9%","8.3pp"
"Glimmerlight","","C","0","","0","","11537","36.9%","59.3%","2118","58.5%","2786","60.6%","4904","59.7%","6629","59.1%","0.6pp"
"Sheltered by Ghosts","W","U","0","","0","","8409","63.6%","59.2%","1417","61.3%","2069","65.5%","3486","63.8%","4913","55.9%","7.9pp"
"Silent Hallcreeper","U","R","0","","0","","4500","72.4%","59.0%","799","63.0%","1211","60.4%","2010","61.4%","2488","57.3%","4.1pp"
"Under the Skin","G","U","0","","0","","7751","56.2%","58.8%","1286","61.0%","1858","62.7%","3144","62.0%","4603","56.7%","5.2pp"
"Abhorrent Oculus","U","M","0","","0","","2078","74.6%","58.7%","361","","547","66.4%","908","62.6%","1168","55.5%","7.1pp"
"Stay Hidden, Stay Silent","U","U","0","","0","","5869","41.8%","58.5%","987","58.0%","1570","61.6%","2557","60.2%","3302","57.1%","3.1pp"
"Entity Tracker","U","R","0","","0","","3930","66.6%","58.5%","650","66.5%","1071","61.6%","1721","63.5%","2206","54.6%","8.8pp"
"Overlord of the Boilerbilges","R","M","0","","0","","2294","77.2%","58.5%","382","","495","","877","65.5%","1419","54.1%","11.4pp"
"Enduring Innocence","W","R","0","","0","","4508","78.0%","58.4%","781","65.7%","1067","62.0%","1848","63.6%","2643","54.8%","8.8pp"
"Splitskin Doll","W","U","0","","0","","7490","55.9%","58.2%","1353","60.2%","1773","59.2%","3126","59.6%","4332","57.1%","2.6pp"
"Unsettling Twins","W","C","0","","0","","13393","43.4%","58.2%","2291","57.9%","3222","60.1%","5513","59.2%","7826","57.3%","1.8pp"
"Ghostly Dancers","W","R","0","","0","","5113","82.8%","58.2%","900","63.2%","1265","64.5%","2165","64.0%","2929","53.8%","10.2pp"
"Split Up","W","R","0","","0","","3619","62.3%","58.2%","614","58.8%","903","60.0%","1517","59.5%","2100","57.2%","2.3pp"
"Unholy Annex // Ritual Chamber","B","R","0","","0","","4265","71.2%","58.0%","740","64.7%","1113","66.0%","1853","65.5%","2389","52.0%","13.5pp"
"Glimmerburst","U","C","0","","0","","9509","29.5%","58.0%","1619","58.4%","2524","60.9%","4143","59.9%","5354","56.4%","3.5pp"
"Unidentified Hovership","W","R","0","","0","","4212","69.7%","58.0%","733","59.3%","1009","61.6%","1742","60.7%","2469","55.9%","4.8pp"
"The Swarmweaver","BG","R","0","","0","","4392","70.4%","57.9%","777","61.0%","1059","66.7%","1836","64.3%","2533","53.2%","11.1pp"
"Glimmer Seeker","W","U","0","","0","","7421","55.6%","57.9%","1312","60.4%","1802","57.8%","3114","58.9%","4298","57.2%","1.7pp"
"Fear of Isolation","U","U","0","","0","","5710","42.1%","57.9%","983","56.5%","1496","62.5%","2479","60.1%","3235","56.2%","3.9pp"
