"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Unstoppable Slasher","B","R","0","","0","","4466","75.9%","57.9%","768","69.7%","1116","61.8%","1884","65.0%","2576","52.8%","12.2pp"
"Overlord of the Balemurk","B","M","0","","0","","2246","74.8%","57.9%","387","","567","62.6%","954","63.6%","1279","53.8%","9.8pp"
"Patched Plaything","W","U","0","","0","","5961","44.7%","57.7%","1063","56.4%","1380","57.5%","2443","57.1%","3512","58.1%","-1.1pp"
"Optimistic Scavenger","W","U","0","","0","","7401","54.3%","57.6%","1314","64.0%","1775","57.7%","3089","60.4%","4285","55.5%","4.9pp"
"Vanish from Sight","U","C","0","","0","","7120","22.7%","57.5%","1153","57.5%","1884","60.8%","3037","59.6%","4082","55.9%","3.6pp"
"Jump Scare","W","C","0","","0","","6772","21.6%","57.5%","1029","55.4%","1582","59.6%","2611","57.9%","4161","57.1%","0.8pp"
"Dissection Tools","","R","0","","0","","5619","92.3%","57.4%","915","63.2%","1390","63.8%","2305","63.6%","3308","53.3%","10.3pp"
"Trapped in the Screen","W","C","0","","0","","20452","63.9%","57.4%","3513","58.0%","4890","60.6%","8403","59.5%","12041","55.9%","3.6pp"
"Fear of Abduction","W","U","0","","0","","6794","53.1%","57.4%","1060","55.8%","1640","60.4%","2700","58.6%","4084","56.4%","2.2pp"
"Oblivious Bookworm","UG","U","0","","0","","4424","32.5%","57.4%","780","62.8%","1087","57.7%","1867","59.8%","2548","55.4%","4.5pp"
"Enduring Curiosity","U","R","0","","0","","3837","64.9%","57.4%","656","61.6%","961","60.4%","1617","60.9%","2216","54.8%","6.0pp"
"Seized from Slumber","W","C","0","","0","","14465","46.2%","57.3%","2379","58.6%","3498","59.5%","5877","59.1%","8581","56.0%","3.1pp"
"Exorcise","W","U","0","","0","","7435","54.3%","57.3%","1235","56.4%","1761","60.6%","2996","58.9%","4437","56.2%","2.7pp"
"Get Out","U","U","0","","0","","2780","21.3%","57.2%","450","","679","57.7%","1129","60.1%","1650","55.2%","5.0pp"
"Twitching Doll","G","R","0","","0","","4199","78.0%","57.2%","727","64.5%","994","55.9%","1721","59.6%","2462","55.4%","4.2pp"
"Tunnel Surveyor","U","C","0","","0","","9884","31.4%","57.2%","1728","56.8%","2501","59.6%","4229","58.5%","5645","56.1%","2.3pp"
"Unable to Scream","U","C","0","","0","","12330","39.1%","57.2%","2117","57.1%","3213","60.2%","5330","59.0%","6995","55.7%","3.3pp"
"Lionheart Glimmer","W","U","0","","0","","5157","42.6%","57.1%","830","55.3%","1289","56.8%","2119","56.2%","3019","57.7%","-1.5pp"
"Threats Around Every Corner","G","U","0","","0","","6320","47.5%","57.1%","1078","58.9%","1504","58.8%","2582","58.8%","3731","55.9%","2.9pp"
"Niko, Light of Hope","WU","M","0","","0","","2017","67.8%","57.1%","328","","532","60.7%","860","59.5%","1152","55.1%","4.4pp"
"Broodspinner","BG","U","0","","0","","4512","34.5%","57.1%","767","59.6%","1122","59.4%","1889","59.5%","2606","55.3%","4.2pp"
"Arabella, Abandoned Doll","WR","U","0","","0","","3547","28.5%","57.1%","613","59.9%","794","58.1%","1407","58.8%","2136","55.7%","3.1pp"
"The Rollercrusher Ride","R","M","0","","0","","2323","77.0%","57.1%","411","","582","64.8%","993","63.7%","1326","52.1%","11.6pp"
"Saw","","U","0","","0","","972","7.3%","57.0%","151","","225","","376","","596","56.2%",""
"Overlord of the Floodpits","U","M","0","","0","","2216","69.7%","57.0%","365","","590","64.1%","955","64.2%","1268","51.5%","12.7pp"
"Friendly Ghost","W","C","0","","0","","9860","31.5%","57.0%","1591","55.0%","2423","58.9%","4014","57.4%","5821","56.6%","0.8pp"
"Veteran Survivor","W","U","0","","0","","5636","40.2%","57.0%","998","59.9%","1244","56.3%","2242","57.9%","3383","56.3%","1.6pp"
"Fear of Surveillance","W","C","0","","0","","16719","52.1%","56.9%","3011","56.9%","3980","57.0%","6991","56.9%","9681","56.8%","0.1pp"
"Zimone, All-Questioning","UG","R","0","","0","","3481","58.1%","56.9%","587","63.7%","871","59.1%","1458","61.0%","2021","53.9%","7.0pp"
"Bashful Beastie","G","C","0","","0","","13260","40.8%","56.9%","2105","56.9%","3236","57.4%","5341","57.2%","7896","56.6%","0.6pp"
"Betrayer's Bargain","R","U","0","","0","","5284","39.7%","56.9%","871","59.0%","1174","59.5%","2045","59.3%","3233","55.4%","3.9pp"
"Floodpits Drowner","U","U","0","","0","","5599","42.7%","56.9%","937","57.8%","1622","61.0%","2559","59.8%","3118","54.3%","5.5pp"
"Twist Reality","U","C","0","","0","","5612","17.7%","56.9%","914","51.0%","1534","60.1%","2448","56.7%","3164","57.0%","-0.3pp"
"Fear of Immobility","W","C","0","","0","","11917","37.6%","56.8%","1816","55.4%","2886","58.2%","4702","57.1%","7192","56.5%","0.6pp"
"Painter's Studio // Defaced Gallery","R","U","0","","0","","4190","32.9%","56.8%","747","54.9%","1001","57.3%","1748","56.3%","2440","57.3%","-1.0pp"
"Surgical Suite // Hospital Room","W","U","0","","0","","6866","52.6%","56.8%","1179","56.1%","1634","61.2%","2813","59.0%","4043","55.2%","3.8pp"
"Razorkin Hordecaller","R","U","0","","0","","5249","40.7%","56.8%","862","56.0%","1206","60.3%","2068","58.5%","3189","55.6%","2.9pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","0","","0","","2487","84.1%","56.7%","457","","579","63.6%","1036","62.4%","1438","52.9%","9.4pp"
"Patchwork Beastie","G","U","0","","0","","5631","41.5%","56.7%","1019","60.3%","1334","57.8%","2353","58.9%","3275","55.0%","3.8pp"
"Clockwork Percussionist","R","C","0","","0","","8896","27.2%","56.7%","1627","58.4%","1977","55.7%","3604","56.9%","5281","56.5%","0.4pp"
"Gremlin Tamer","WU","U","0","","0","","4332","31.1%","56.6%","734","63.2%","1172","58.7%","1906","60.4%","2427","53.5%","7.0pp"
"Manifest Dread","G","C","0","","0","","14009","44.6%","56.6%","2549","56.4%","3232","56.7%","5781","56.6%","8228","56.7%","-0.1pp"
"Spineseeker Centipede","G","C","0","","0","","16859","53.2%","56.6%","2957","57.4%","3910","57.4%","6867","57.4%","9961","56.0%","1.5pp"
"Reluctant Role Model","W","R","0","","0","","4552","77.0%","56.6%","836","61.5%","1082","56.9%","1918","58.9%","2630","55.0%","3.9pp"
"Fear of Falling","U","U","0","","0","","4745","35.1%","56.6%","724","56.2%","1366","57.2%","2090","56.9%","2659","56.3%","0.6pp"
"Insidious Fungus","G","U","0","","0","","7050","49.4%","56.6%","1217","57.8%","1602","58.8%","2819","58.4%","4216","55.3%","3.1pp"
"Fear of Missing Out","R","R","0","","0","","3528","60.6%","56.6%","650","60.5%","835","61.2%","1485","60.9%","2047","53.5%","7.3pp"
"Wary Watchdog","G","C","0","","0","","15688","49.5%","56.6%","2780","57.3%","3522","55.7%","6302","56.4%","9349","56.6%","-0.2pp"
"Cursed Windbreaker","U","U","0","","0","","4369","33.1%","56.6%","727","58.0%","1171","57.6%","1898","57.8%","2472","55.6%","2.2pp"
"Kaito, Bane of Nightmares","UB","M","0","","0","","1474","54.6%","56.5%","266","","397","","663","60.0%","809","53.6%","6.4pp"
"Screaming Nemesis","R","M","0","","0","","1926","66.5%","56.4%","336","","483","","819","60.9%","1109","53.0%","7.9pp"
"Baseball Bat","WG","U","0","","0","","2607","20.2%","56.4%","438","","563","55.1%","1001","55.2%","1607","57.1%","-1.9pp"
"Don't Make a Sound","U","C","0","","0","","5037","16.0%","56.4%","882","59.0%","1296","56.9%","2178","57.8%","2858","55.4%","2.4pp"
"Chainsaw","R","R","0","","0","","3837","64.4%","56.3%","716","58.7%","869","59.8%","1585","59.3%","2246","54.2%","5.1pp"
"Balustrade Wurm","G","R","0","","0","","4725","78.7%","56.3%","807","60.6%","1144","61.3%","1951","61.0%","2767","53.1%","7.9pp"
"Floodfarm Verge","","R","0","","0","","2177","39.3%","56.3%","390","","555","60.7%","945","58.7%","1232","54.5%","4.3pp"
"The Wandering Rescuer","W","M","0","","0","","2767","80.8%","56.3%","485","","640","62.0%","1125","59.6%","1638","54.0%","5.7pp"
"Hardened Escort","W","C","0","","0","","9643","30.8%","56.3%","1652","55.8%","2155","54.7%","3807","55.2%","5818","56.9%","-1.8pp"
"Abandoned Campground","","C","0","","0","","4970","30.0%","56.3%","902","56.4%","1176","57.1%","2078","56.8%","2892","55.9%","1.0pp"
"Ghost Vacuum","","R","0","","0","","4367","76.8%","56.3%","724","60.5%","1062","56.0%","1786","57.8%","2583","55.1%","2.7pp"
"Coordinated Clobbering","G","U","0","","0","","6479","49.2%","56.2%","1042","52.5%","1565","56.2%","2607","54.7%","3877","57.2%","-2.4pp"
"Lakeside Shack","","C","0","","0","","4575","27.5%","56.1%","824","60.6%","1073","56.9%","1897","58.5%","2674","54.5%","4.1pp"
"Terramorphic Expanse","","C","0","","0","","26649","85.5%","56.1%","4900","58.6%","6307","55.1%","11207","56.6%","15434","55.7%","0.9pp"
"Bottomless Pool // Locker Room","U","U","0","","0","","5461","42.2%","56.1%","970","51.6%","1407","61.0%","2377","57.2%","3056","55.2%","2.0pp"
"Vengeful Possession","R","U","0","","0","","1950","14.7%","56.1%","292","","472","","764","56.4%","1185","55.9%","0.5pp"
"Nowhere to Run","B","U","0","","0","","6259","47.9%","56.1%","1051","57.3%","1550","60.9%","2601","59.4%","3643","53.7%","5.8pp"
"Stalked Researcher","U","C","0","","0","","5660","17.7%","56.1%","1013","56.9%","1391","57.2%","2404","57.1%","3255","55.3%","1.8pp"
"Commune with Evil","B","U","0","","0","","2099","15.6%","56.1%","387","","507","58.6%","894","57.8%","1202","54.8%","3.0pp"
"Conductive Machete","","U","0","","0","","7535","58.3%","56.1%","1211","56.1%","1796","56.0%","3007","56.0%","4525","56.1%","-0.1pp"
"Enduring Courage","R","R","0","","0","","3772","61.1%","56.1%","628","58.8%","878","56.7%","1506","57.6%","2263","55.0%","2.6pp"
"Monstrous Emergence","G","C","0","","0","","17211","53.8%","56.1%","2994","55.9%","4091","58.4%","7085","57.4%","10120","55.2%","2.2pp"
"Mirror Room // Fractured Realm","U","M","0","","0","","1347","44.0%","56.1%","218","","372","","590","59.3%","752","53.2%","6.1pp"
"Grand Entryway // Elegant Rotunda","W","C","0","","0","","15497","48.0%","56.0%","2743","55.6%","3634","57.4%","6377","56.7%","9105","55.6%","1.1pp"
"Meat Locker // Drowned Diner","U","C","0","","0","","11512","36.6%","56.0%","1953","51.6%","3061","59.7%","5014","56.5%","6451","55.6%","1.0pp"
"Hauntwoods Shrieker","G","M","0","","0","","2269","79.2%","56.0%","401","","578","57.6%","979","58.4%","1293","54.0%","4.4pp"
"Overlord of the Hauntwoods","G","M","0","","0","","2544","81.5%","56.0%","408","","630","56.0%","1038","57.2%","1511","55.3%","2.0pp"
"Irreverent Gremlin","R","U","0","","0","","4860","37.2%","56.0%","900","57.9%","1071","53.9%","1971","55.7%","2883","56.1%","-0.4pp"
"Fear of Impostors","U","U","0","","0","","3302","25.8%","56.0%","556","54.1%","889","56.4%","1445","55.5%","1850","56.2%","-0.7pp"
"Shepherding Spirits","W","C","0","","0","","10245","32.4%","56.0%","1746","54.6%","2425","55.1%","4171","54.9%","6050","56.6%","-1.7pp"
"Flesh Burrower","G","C","0","","0","","15609","49.1%","55.9%","2744","55.9%","3670","57.2%","6414","56.6%","9159","55.4%","1.3pp"
"Omnivorous Flytrap","G","R","0","","0","","4430","76.4%","55.9%","805","58.6%","1051","58.8%","1856","58.7%","2563","53.9%","4.8pp"
"Duskmourn's Domination","U","U","0","","0","","2584","19.8%","55.9%","388","","691","60.6%","1079","57.4%","1502","54.7%","2.7pp"
"Wickerfolk Thresher","G","U","0","","0","","7553","56.9%","55.8%","1237","52.4%","1863","57.4%","3100","55.4%","4441","56.0%","-0.6pp"
"Trial of Agony","R","U","0","","0","","3440","25.8%","55.8%","612","53.3%","763","57.4%","1375","55.6%","2067","56.0%","-0.5pp"
"Moldering Gym // Weight Room","G","C","0","","0","","13964","44.9%","55.8%","2351","59.4%","3385","55.4%","5736","57.0%","8212","55.0%","2.1pp"
"Underwater Tunnel // Slimy Aquarium","U","C","0","","0","","10102","32.8%","55.8%","1826","53.9%","2607","56.0%","4433","55.2%","5644","56.3%","-1.1pp"
"Piggy Bank","R","U","0","","0","","5321","40.0%","55.8%","905","60.4%","1177","56.6%","2082","58.3%","3238","54.2%","4.0pp"
"Acrobatic Cheerleader","W","C","0","","0","","12684","40.5%","55.8%","2235","57.6%","2959","54.2%","5194","55.7%","7450","55.9%","-0.2pp"
"Valgavoth's Lair","","R","0","","0","","4927","86.2%","55.8%","942","58.7%","1099","54.2%","2041","56.3%","2885","55.4%","0.9pp"
"Break Down the Door","G","U","0","","0","","6196","47.3%","55.8%","1043","54.9%","1467","56.8%","2510","56.0%","3683","55.6%","0.5pp"
"Restricted Office // Lecture Hall","WU","R","0","","0","","2270","39.3%","55.8%","351","","572","58.9%","923","57.0%","1342","54.9%","2.1pp"
"Turn Inside Out","R","C","0","","0","","7764","24.2%","55.8%","1267","56.0%","1689","57.4%","2956","56.8%","4805","55.1%","1.7pp"
"Razorkin Needlehead","R","R","0","","0","","2689","43.6%","55.7%","487","","609","56.7%","1096","56.2%","1590","55.4%","0.8pp"
"Keys to the House","","U","0","","0","","3036","23.2%","55.7%","571","52.2%","710","57.7%","1281","55.3%","1756","56.1%","-0.8pp"
"Shardmage's Rescue","W","U","0","","0","","5911","45.7%","55.7%","966","59.1%","1398","57.1%","2364","57.9%","3544","54.2%","3.7pp"
"Clammy Prowler","U","C","0","","0","","3347","10.6%","55.7%","575","55.8%","880","57.4%","1455","56.8%","1889","54.9%","1.9pp"
"Erratic Apparition","U","C","0","","0","","4907","15.5%","55.7%","844","52.4%","1226","56.4%","2070","54.8%","2831","56.4%","-1.6pp"
"Cult Healer","W","C","0","","0","","8491","27.1%","55.7%","1439","55.9%","1989","55.4%","3428","55.6%","5047","55.7%","-0.1pp"
"Etched Cornfield","","C","0","","0","","5190","31.1%","55.6%","958","56.4%","1218","55.3%","2176","55.7%","3012","55.5%","0.2pp"
"Most Valuable Slayer","R","C","0","","0","","10417","33.0%","55.6%","1728","54.3%","2403","57.3%","4131","56.1%","6277","55.3%","0.7pp"
"Osseous Sticktwister","B","U","0","","0","","5560","43.1%","55.6%","1007","59.2%","1311","56.1%","2318","57.4%","3226","54.4%","3.0pp"
"Ragged Playmate","R","C","0","","0","","7029","22.3%","55.6%","1260","55.2%","1523","53.6%","2783","54.3%","4244","56.5%","-2.1pp"
"Altanak, the Thrice-Called","G","U","0","","0","","6188","46.1%","55.6%","938","51.2%","1552","57.6%","2490","55.2%","3684","55.7%","-0.5pp"
"Midnight Mayhem","WR","U","0","","0","","2830","22.0%","55.5%","472","","646","62.7%","1118","59.9%","1712","52.7%","7.2pp"
"Ethereal Armor","W","U","0","","0","","4924","37.4%","55.5%","827","56.1%","1135","57.9%","1962","57.1%","2964","54.5%","2.6pp"
"Fear of Being Hunted","R","U","0","","0","","4017","31.3%","55.5%","684","57.6%","912","54.5%","1596","55.8%","2422","55.3%","0.5pp"
"House Cartographer","G","U","0","","0","","6885","52.3%","55.5%","1226","56.0%","1603","55.6%","2829","55.8%","4038","55.2%","0.6pp"
"Hand That Feeds","R","C","0","","0","","8295","26.1%","55.5%","1542","56.0%","1794","55.9%","3336","55.9%","4953","55.2%","0.7pp"
"Frantic Strength","G","C","0","","0","","4864","15.5%","55.5%","771","54.7%","1094","57.2%","1865","56.2%","2997","55.0%","1.2pp"
"Rip, Spawn Hunter","WG","R","0","","0","","2892","47.9%","55.5%","490","","710","55.1%","1200","55.5%","1690","55.3%","0.2pp"
"Gloomlake Verge","","R","0","","0","","1454","25.2%","55.4%","251","","367","","618","60.2%","834","51.9%","8.3pp"
"Horrid Vigor","G","C","0","","0","","5726","18.5%","55.4%","911","56.2%","1367","57.9%","2278","57.2%","3447","54.2%","3.0pp"
"Wildfire Wickerfolk","RG","U","0","","0","","3289","24.8%","55.4%","582","57.6%","716","56.8%","1298","57.2%","1993","54.2%","3.0pp"
"Fear of Burning Alive","R","U","0","","0","","5042","38.7%","55.4%","750","55.5%","1207","60.4%","1957","58.5%","3081","53.4%","5.1pp"
"Glassworks // Shattered Yard","R","C","0","","0","","14484","46.3%","55.4%","2441","54.4%","3414","58.1%","5855","56.5%","8593","54.5%","2.0pp"
"Strangled Cemetery","","C","0","","0","","5738","34.6%","55.4%","1062","58.0%","1287","55.1%","2349","56.4%","3383","54.6%","1.8pp"
"Scorching Dragonfire","R","C","0","","0","","14770","46.6%","55.3%","2493","57.6%","3503","58.4%","5996","58.1%","8770","53.5%","4.6pp"
"Grasping Longneck","G","C","0","","0","","9882","31.3%","55.3%","1660","55.3%","2359","54.6%","4019","54.9%","5848","55.4%","-0.4pp"
"Enduring Vitality","G","R","0","","0","","3768","66.9%","55.3%","720","60.7%","880","56.4%","1600","58.3%","2165","52.8%","5.5pp"
"Say Its Name","G","C","0","","0","","7860","25.5%","55.2%","1373","53.8%","1850","56.2%","3223","55.2%","4638","55.3%","-0.1pp"
"Piranha Fly","U","C","0","","0","","6190","19.5%","55.2%","1073","57.6%","1575","55.2%","2648","56.2%","3537","54.5%","1.6pp"
"Paranormal Analyst","U","U","0","","0","","3545","26.7%","55.2%","676","58.7%","885","54.4%","1561","56.2%","1984","54.4%","1.9pp"
"Beastie Beatdown","RG","U","0","","0","","3497","26.9%","55.2%","568","52.1%","794","58.1%","1362","55.6%","2134","55.0%","0.6pp"
"Slavering Branchsnapper","G","C","0","","0","","13766","44.5%","55.2%","2321","54.3%","3267","56.2%","5588","55.4%","8163","55.0%","0.4pp"
"Ripchain Razorkin","R","C","0","","0","","4303","13.8%","55.1%","729","52.4%","977","57.2%","1706","55.2%","2595","55.1%","0.1pp"
"Hushwood Verge","","R","0","","0","","2197","37.1%","55.1%","383","","518","56.9%","901","56.7%","1296","54.0%","2.7pp"
"Savior of the Small","W","U","0","","0","","5153","38.9%","55.1%","832","51.2%","1206","55.6%","2038","53.8%","3105","55.8%","-2.0pp"
"Cryptid Inspector","G","C","0","","0","","8957","28.2%","55.1%","1538","53.3%","2154","53.0%","3692","53.1%","5260","56.4%","-3.3pp"
"Orphans of the Wheat","W","U","0","","0","","5150","39.3%","55.1%","933","53.8%","1187","54.4%","2120","54.2%","3016","55.6%","-1.5pp"
"Inquisitive Glimmer","WU","U","0","","0","","3453","26.4%","55.1%","597","60.0%","856","54.6%","1453","56.8%","1998","53.9%","2.9pp"
"Friendly Teddy","","C","0","","0","","3018","9.5%","55.1%","533","51.2%","701","54.2%","1234","52.9%","1779","56.4%","-3.5pp"
"Peculiar Lighthouse","","C","0","","0","","2842","18.0%","55.1%","574","58.5%","657","56.6%","1231","57.5%","1610","53.2%","4.3pp"
"Killer's Mask","B","U","0","","0","","1897","14.9%","55.0%","306","","487","","793","53.6%","1102","56.1%","-2.5pp"
"Found Footage","","C","0","","0","","1730","5.5%","55.0%","322","","367","","689","54.9%","1038","55.1%","-0.2pp"
"Daggermaw Megalodon","U","C","0","","0","","7109","22.4%","55.0%","1235","52.2%","1864","55.4%","3099","54.1%","4019","55.7%","-1.6pp"
"Diversion Specialist","R","U","0","","0","","3225","24.9%","55.0%","539","53.1%","717","55.8%","1256","54.6%","1966","55.3%","-0.7pp"
"Vicious Clown","R","C","0","","0","","5345","16.7%","55.0%","896","55.6%","1120","52.1%","2016","53.6%","3324","55.9%","-2.2pp"
"Defiant Survivor","G","U","0","","0","","7023","53.8%","55.0%","1241","57.2%","1668","56.0%","2909","56.5%","4109","54.0%","2.5pp"
"Murky Sewer","","C","0","","0","","3850","23.4%","55.0%","678","58.0%","979","57.4%","1657","57.6%","2188","53.0%","4.6pp"
"Drag to the Roots","BG","U","0","","0","","4395","34.7%","54.9%","694","52.0%","1119","58.7%","1813","56.2%","2585","54.0%","2.1pp"
"Emerge from the Cocoon","W","C","0","","0","","6672","20.8%","54.9%","1028","50.8%","1645","57.1%","2673","54.7%","3991","54.9%","-0.3pp"
"Bleeding Woods","","C","0","","0","","4925","29.1%","54.8%","910","57.3%","1114","52.9%","2024","54.8%","2899","54.8%","0.0pp"
"Cautious Survivor","G","C","0","","0","","7605","23.9%","54.8%","1262","55.2%","1782","56.5%","3044","55.9%","4535","53.9%","2.0pp"
"Cynical Loner","B","U","0","","0","","2993","23.5%","54.8%","511","58.5%","741","53.3%","1252","55.4%","1740","54.3%","1.1pp"
"Hedge Shredder","G","R","0","","0","","3554","60.4%","54.8%","600","55.8%","851","52.6%","1451","54.0%","2095","55.1%","-1.2pp"
"Final Vengeance","B","C","0","","0","","8123","25.7%","54.7%","1327","52.5%","2018","58.3%","3345","56.0%","4772","53.9%","2.2pp"
"Cathartic Parting","G","U","0","","0","","3690","28.2%","54.7%","621","51.2%","885","58.1%","1506","55.2%","2188","54.5%","0.7pp"
"Popular Egotist","B","U","0","","0","","2795","21.2%","54.7%","467","","720","53.6%","1187","54.1%","1607","55.1%","-1.0pp"
"The Mindskinner","U","R","0","","0","","1880","31.9%","54.7%","336","","496","","832","54.2%","1056","55.3%","-1.1pp"
"Fear of Exposure","G","U","0","","0","","6274","47.8%","54.7%","993","54.4%","1465","56.2%","2458","55.5%","3805","54.1%","1.3pp"
"Living Phone","W","C","0","","0","","4756","15.2%","54.7%","819","49.6%","1063","53.2%","1882","51.6%","2858","56.8%","-5.2pp"
"Overgrown Zealot","G","U","0","","0","","6587","50.7%","54.7%","1183","58.3%","1477","54.5%","2660","56.2%","3911","53.6%","2.6pp"
"Ticket Booth // Tunnel of Hate","R","C","0","","0","","7259","22.9%","54.7%","1244","55.7%","1686","55.5%","2930","55.6%","4321","54.1%","1.5pp"
"Fear of Failed Tests","U","U","0","","0","","1788","13.2%","54.7%","280","","478","","758","55.4%","1025","54.0%","1.5pp"
"Grab the Prize","R","C","0","","0","","2925","9.3%","54.7%","496","","656","56.7%","1152","54.7%","1773","54.7%","0.0pp"
"Innocuous Rat","B","C","0","","0","","9286","29.7%","54.6%","1640","54.9%","2208","56.1%","3848","55.6%","5422","53.9%","1.7pp"
"Sporogenic Infection","B","U","0","","0","","4289","33.4%","54.6%","722","55.0%","1037","59.2%","1759","57.5%","2521","52.6%","4.9pp"
"Impossible Inferno","R","C","0","","0","","6331","20.0%","54.6%","993","50.9%","1428","56.8%","2421","54.4%","3907","54.7%","-0.4pp"
"Fanatic of the Harrowing","B","C","0","","0","","4895","15.8%","54.5%","805","53.7%","1219","56.4%","2024","55.3%","2861","54.0%","1.3pp"
"Winter's Intervention","B","C","0","","0","","9424","30.2%","54.5%","1700","54.7%","2290","55.9%","3990","55.4%","5427","53.9%","1.5pp"
"Malevolent Chandelier","","C","0","","0","","1519","4.8%","54.5%","233","","402","","635","52.6%","885","55.7%","-3.1pp"
"Peer Past the Veil","RG","R","0","","0","","1344","24.1%","54.5%","224","","334","","558","53.4%","785","55.3%","-1.9pp"
"Kona, Rescue Beastie","G","R","0","","0","","3473","61.6%","54.4%","606","52.1%","843","53.1%","1449","52.7%","2018","55.6%","-2.9pp"
"Rootwise Survivor","G","U","0","","0","","4005","30.6%","54.4%","601","52.6%","975","55.5%","1576","54.4%","2425","54.4%","0.0pp"
"Roaring Furnace // Steaming Sauna","UR","R","0","","0","","2664","46.7%","54.4%","474","","690","57.2%","1164","57.3%","1474","52.4%","4.9pp"
"Creeping Peeper","U","C","0","","0","","7072","22.7%","54.4%","1230","53.7%","1746","53.8%","2976","53.7%","4089","54.9%","-1.2pp"
"Unwanted Remake","W","U","0","","0","","2578","18.9%","54.4%","406","","632","55.5%","1038","54.4%","1539","54.4%","0.0pp"
"Raucous Carnival","","C","0","","0","","4474","26.8%","54.4%","814","55.0%","1058","54.5%","1872","54.8%","2602","54.1%","0.6pp"
"Bear Trap","","C","0","","0","","2815","8.9%","54.4%","476","","709","54.9%","1185","54.6%","1627","54.3%","0.3pp"
"Withering Torment","B","U","0","","0","","6462","47.7%","54.3%","1075","52.2%","1579","56.6%","2654","54.8%","3790","53.8%","1.0pp"
