"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sword of Fire and Ice","","M","150","","146","","1057","99.1%","64.6%","197","","255","","452","","599","61.1%",""
"Season of Loss","B","M","1221","1.55","919","1.57","5926","90.0%","63.3%","936","67.2%","1514","73.6%","2450","71.2%","3419","57.7%","13.5pp"
"Valley Questcaller","W","R","2582","1.65","1644","1.62","10578","90.1%","62.5%","1840","69.9%","2533","64.9%","4373","67.0%","6123","59.1%","7.9pp"
"Fecund Greenshell","G","R","2641","1.62","1982","1.61","12945","92.6%","62.4%","2132","66.2%","3450","70.2%","5582","68.6%","7377","57.6%","11.0pp"
"Warren Warleader","W","M","1188","1.39","873","1.38","5507","87.9%","62.3%","893","64.7%","1315","68.9%","2208","67.2%","3282","58.9%","8.3pp"
"Thought-Stalker Warlock","B","U","10728","2.58","5205","2.78","32958","89.4%","62.2%","5520","65.7%","7909","65.5%","13429","65.6%","19307","59.8%","5.8pp"
"Maha, Its Feathers Night","B","M","1066","1.36","843","1.34","5276","88.0%","62.1%","909","67.4%","1405","69.3%","2314","68.5%","2947","57.1%","11.4pp"
"Dreamdew Entrancer","UG","R","4193","2.56","2036","2.53","11984","82.8%","62.1%","1934","68.5%","3527","69.5%","5461","69.1%","6540","56.1%","13.0pp"
"Hired Claw","R","R","4306","2.66","1571","2.78","8787","78.1%","61.7%","1530","70.5%","1886","60.6%","3416","65.0%","5365","59.6%","5.4pp"
"Fell","B","U","9124","2.23","4201","2.50","26956","91.0%","61.6%","4641","63.1%","6755","65.8%","11396","64.7%","15337","59.2%","5.5pp"
"Vinereap Mentor","BG","U","15660","3.83","4829","4.30","26104","76.9%","61.6%","4406","67.0%","6480","65.3%","10886","66.0%","15002","58.4%","7.6pp"
"Hunter's Talent","G","U","7988","1.98","5024","2.09","32974","92.3%","61.6%","5513","64.3%","8379","66.7%","13892","65.7%","18932","58.4%","7.3pp"
"Azure Beastbinder","U","R","5150","2.93","1865","3.22","10755","81.7%","61.5%","1901","66.3%","3083","63.5%","4984","64.6%","5772","58.9%","5.7pp"
"Harvestrite Host","W","U","13887","3.35","4469","3.84","25999","81.9%","61.5%","4213","63.5%","5937","62.1%","10150","62.7%","15769","60.7%","2.0pp"
"Zoraline, Cosmos Caller","WB","R","3635","2.27","1673","2.20","9262","77.6%","61.5%","1546","66.1%","2329","67.5%","3875","66.9%","5209","56.8%","10.1pp"
"Hop to It","W","U","14155","3.38","4015","3.96","23883","83.8%","61.3%","4040","63.3%","5314","63.5%","9354","63.4%","14492","59.9%","3.5pp"
"Manifold Mouse","R","R","4128","2.64","1566","2.64","8414","76.2%","61.3%","1444","69.0%","1816","64.4%","3260","66.4%","5143","58.0%","8.5pp"
"Wick's Patrol","B","U","12544","3.03","5395","3.34","33261","86.6%","61.2%","4861","62.3%","8347","65.4%","13208","64.3%","19878","59.1%","5.2pp"
"Downwind Ambusher","B","U","13902","3.31","5199","3.83","32545","88.7%","61.2%","5327","63.4%","8031","64.5%","13358","64.1%","19024","59.0%","5.0pp"
"Rottenmouth Viper","B","M","1142","1.42","875","1.42","5747","93.5%","61.1%","872","64.6%","1467","63.3%","2339","63.7%","3402","59.3%","4.5pp"
"Burrowguard Mentor","WG","U","15325","3.84","3944","4.52","19886","70.9%","61.1%","3341","64.6%","4538","62.3%","7879","63.3%","12000","59.7%","3.6pp"
"Savor","B","C","35578","3.35","11894","3.99","75385","89.5%","61.0%","12666","63.0%","18726","64.4%","31392","63.8%","43451","58.9%","4.9pp"
"Shoreline Looter","U","U","14357","3.53","5104","3.89","30339","83.9%","61.0%","5335","66.4%","8668","63.8%","14003","64.8%","16336","57.8%","6.9pp"
"Darkstar Augur","B","R","3554","2.13","1881","2.17","11447","85.7%","61.0%","1905","65.0%","2751","65.7%","4656","65.4%","6699","57.7%","7.7pp"
"Lupinflower Village","","U","25068","5.85","3271","8.64","14820","63.3%","61.0%","2813","63.3%","3155","62.2%","5968","62.7%","8834","59.9%","2.9pp"
"Carrot Cake","W","C","40787","3.81","11359","4.64","68569","85.1%","61.0%","11912","61.8%","15539","62.7%","27451","62.3%","40948","60.1%","2.2pp"
"Season of the Burrow","W","M","1299","1.64","835","1.62","5167","86.4%","60.9%","809","63.9%","1221","67.6%","2030","66.2%","3127","57.5%","8.7pp"
"Intrepid Rabbit","W","C","37000","3.44","11313","4.16","70761","87.9%","60.9%","11722","61.1%","16044","63.2%","27766","62.3%","42553","59.9%","2.5pp"
"Mabel, Heir to Cragflame","WR","R","3929","2.53","1526","2.58","8005","73.7%","60.9%","1307","65.9%","1836","65.6%","3143","65.7%","4824","57.7%","8.0pp"
"Gev, Scaled Scorch","BR","R","5021","3.22","1595","3.33","7203","63.9%","60.9%","1288","67.7%","1631","60.4%","2919","63.6%","4263","59.0%","4.6pp"
