"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Beza, the Bounding Spring","W","M","1286","1.52","861","1.51","5199","85.0%","60.8%","902","66.2%","1220","66.1%","2122","66.2%","3088","57.3%","8.9pp"
"Dragonhawk, Fate's Tempest","R","M","1294","1.60","840","1.58","5031","83.5%","60.8%","794","65.1%","1204","67.7%","1998","66.7%","3039","56.9%","9.7pp"
"Patchwork Banner","","U","11915","2.79","4809","3.17","31768","92.7%","60.8%","5576","63.7%","7901","62.6%","13477","63.1%","18177","59.2%","3.9pp"
"Rabid Gnaw","R","U","13628","3.23","3963","3.85","23813","83.9%","60.8%","3729","62.8%","5572","63.1%","9301","63.0%","14456","59.3%","3.7pp"
"Consumed by Greed","B","U","12783","3.03","4592","3.53","28563","88.5%","60.8%","4421","61.8%","7214","64.3%","11635","63.3%","16703","58.8%","4.5pp"
"Ygra, Eater of All","BG","M","1332","1.61","924","1.61","5513","84.6%","60.7%","884","63.3%","1434","64.9%","2318","64.3%","3191","58.0%","6.3pp"
"Mudflat Village","","U","23926","5.43","3796","7.78","19545","72.5%","60.7%","3631","60.8%","4530","63.4%","8161","62.2%","11315","59.5%","2.7pp"
"Ral, Crackling Wit","UR","M","1744","2.26","697","2.24","3716","73.6%","60.7%","606","64.5%","1064","68.1%","1670","66.8%","2007","55.1%","11.7pp"
"Tender Wildguide","G","R","2805","1.66","1923","1.67","12509","91.6%","60.7%","2255","65.4%","3102","62.8%","5357","63.9%","7140","58.2%","5.7pp"
"Osteomancer Adept","B","R","3586","2.12","1910","2.18","11939","88.1%","60.7%","2016","63.1%","2847","63.4%","4863","63.3%","6975","58.6%","4.7pp"
"Ruthless Negotiation","B","U","22677","5.19","3896","7.20","16791","61.1%","60.6%","2662","61.8%","4194","61.9%","6856","61.9%","9865","59.7%","2.1pp"
"Brightblade Stoat","W","U","12353","2.91","3846","3.43","23844","87.1%","60.5%","4090","63.7%","5258","61.6%","9348","62.5%","14394","59.1%","3.4pp"
"Kitsa, Otterball Elite","U","M","2032","2.49","762","2.70","4363","80.7%","60.5%","755","66.9%","1209","62.2%","1964","64.0%","2401","57.6%","6.4pp"
"Innkeeper's Talent","G","R","2258","1.36","1862","1.37","12281","93.0%","60.5%","2170","68.4%","2971","63.2%","5141","65.4%","7099","56.9%","8.5pp"
"Feed the Cycle","B","U","10812","2.58","4401","2.93","28127","90.2%","60.5%","4528","60.8%","6934","65.8%","11462","63.8%","16420","58.0%","5.8pp"
"Jackdaw Savior","W","R","3888","2.27","1619","2.40","9994","86.5%","60.5%","1676","62.2%","2403","62.1%","4079","62.1%","5829","58.9%","3.2pp"
"Ledger Shredder","U","M","310","","116","","726","86.5%","60.5%","124","","201","","325","","398","",""
"Thornvault Forager","G","R","3603","2.11","1824","2.20","11432","88.4%","60.4%","2011","65.8%","2729","61.7%","4740","63.4%","6679","58.4%","5.1pp"
"Daring Waverider","U","U","21473","5.11","4322","6.61","18372","60.0%","60.4%","2533","60.8%","5716","65.9%","8249","64.3%","10100","57.2%","7.2pp"
"Season of Weaving","U","M","1749","2.14","979","2.08","5710","82.6%","60.4%","859","62.6%","1728","67.1%","2587","65.6%","3075","56.0%","9.6pp"
"Flamecache Gecko","R","U","19867","4.62","3938","5.94","20813","74.4%","60.4%","3544","61.7%","4516","60.4%","8060","61.0%","12745","60.0%","1.0pp"
"Tangle Tumbler","","U","25899","6.27","3257","9.27","6382","27.4%","60.4%","953","61.7%","1561","61.1%","2514","61.3%","3857","59.8%","1.5pp"
"Salvation Swan","W","R","3389","2.06","1643","2.11","10362","87.4%","60.4%","1660","61.9%","2472","62.8%","4132","62.4%","6175","58.8%","3.6pp"
"Feather of Flight","W","U","19922","4.54","3432","6.25","17887","73.0%","60.4%","2794","61.2%","3970","62.1%","6764","61.7%","11096","59.5%","2.2pp"
"Valley Mightcaller","G","R","3102","1.87","1776","1.92","11351","90.2%","60.3%","2038","69.0%","2767","59.6%","4805","63.6%","6549","57.9%","5.6pp"
"Repel Calamity","W","U","16119","3.67","3268","4.78","18519","79.3%","60.3%","2812","61.7%","4274","62.6%","7086","62.2%","11401","59.1%","3.2pp"
"Heirloom Epic","","U","26775","6.43","3370","9.56","6031","25.2%","60.3%","993","60.1%","1372","60.5%","2365","60.3%","3654","60.3%","0.1pp"
"Swords to Plowshares","W","M","273","","130","","834","87.9%","60.3%","143","","199","","342","","488","",""
"Vren, the Relentless","UB","R","3967","2.54","1962","2.59","11131","79.4%","60.3%","1834","63.6%","3123","65.9%","4957","65.1%","6122","56.3%","8.7pp"
"Cache Grab","G","C","53689","5.05","12401","6.49","60939","69.8%","60.3%","10421","62.3%","15133","63.1%","25554","62.8%","35201","58.4%","4.4pp"
"Kitnap","U","R","5020","2.89","1817","3.24","10416","80.9%","60.2%","1606","61.7%","3150","65.0%","4756","63.9%","5544","57.0%","6.8pp"
"Thundertrap Trainer","U","R","6319","3.43","1772","4.17","9478","75.0%","60.2%","1601","61.3%","2756","65.1%","4357","63.7%","5103","57.1%","6.6pp"
"Keen-Eyed Curator","G","R","3326","2.02","1835","2.02","11564","89.4%","60.2%","2000","64.0%","2891","63.0%","4891","63.4%","6702","57.7%","5.8pp"
"Driftgloom Coyote","W","U","13030","3.13","3637","3.82","21722","84.0%","60.2%","3189","62.2%","5107","63.5%","8296","63.0%","13363","58.3%","4.8pp"
"Take Out the Trash","R","C","41304","3.85","9704","4.81","58580","84.6%","60.2%","9752","61.2%","13771","62.3%","23523","61.8%","34865","59.0%","2.8pp"
"Overprotect","G","U","14898","3.39","4488","4.20","28405","89.0%","60.2%","4240","60.1%","7063","63.7%","11303","62.4%","17017","58.6%","3.7pp"
"Nocturnal Hunger","B","C","34448","3.24","10395","4.03","66589","90.4%","60.2%","10618","58.9%","16735","63.0%","27353","61.4%","38672","59.2%","2.2pp"
"Mindwhisker","U","U","18949","4.50","4619","5.62","24985","76.4%","60.2%","4214","60.3%","7385","63.9%","11599","62.6%","13370","58.0%","4.6pp"
"Glarb, Calamity's Augur","UBG","M","2284","2.73","912","2.83","4659","71.9%","60.1%","750","64.3%","1400","65.7%","2150","65.2%","2514","55.5%","9.7pp"
"Warren Elder","W","C","47522","4.41","9749","5.81","58859","84.7%","60.1%","10003","59.9%","13154","60.0%","23157","59.9%","35428","60.1%","-0.2pp"
"Camellia, the Seedmiser","BG","R","4233","2.65","1862","2.69","9885","75.0%","60.1%","1695","63.1%","2454","64.5%","4149","63.9%","5647","57.2%","6.7pp"
"Hivespine Wolverine","G","U","13718","3.11","4234","3.84","26473","88.6%","60.1%","3892","62.4%","6766","63.2%","10658","62.9%","15796","58.2%","4.7pp"
"Byway Barterer","R","R","4473","2.62","1628","2.85","9688","84.1%","60.1%","1693","62.1%","2172","61.0%","3865","61.5%","5839","59.2%","2.3pp"
"Heartfire Hero","R","U","15958","3.94","3113","4.97","16659","74.7%","60.1%","2871","64.3%","3594","58.6%","6465","61.1%","10204","59.5%","1.6pp"
"Bonebind Orator","B","C","54062","5.07","10432","7.03","58639","79.5%","60.1%","9658","60.9%","13982","61.2%","23640","61.1%","34827","59.3%","1.7pp"
"Spellgyre","U","U","23419","5.65","3817","7.80","15342","56.8%","60.1%","2305","59.4%","4481","63.8%","6786","62.3%","8421","58.1%","4.2pp"
"Crumb and Get It","W","C","53890","4.94","9131","6.86","50714","77.5%","60.0%","7385","60.0%","11544","60.4%","18929","60.3%","31692","59.9%","0.4pp"
"Whiskervale Forerunner","W","R","3497","2.09","1597","2.12","9710","85.5%","60.0%","1588","60.8%","2330","60.6%","3918","60.7%","5757","59.5%","1.2pp"
"Pawpatch Recruit","G","R","2971","1.75","1871","1.77","12041","90.3%","60.0%","2123","64.4%","3022","62.7%","5145","63.4%","6864","57.4%","6.0pp"
"Bonecache Overseer","B","U","22378","5.28","4140","6.99","16841","57.8%","60.0%","2743","63.6%","4107","60.1%","6850","61.5%","9896","58.9%","2.6pp"
"Lilysplash Mentor","UG","U","16403","4.01","4398","4.82","23374","74.8%","60.0%","3720","59.8%","6940","64.5%","10660","62.8%","12783","57.7%","5.1pp"
"Persistent Marshstalker","B","U","20538","4.54","4250","6.00","21375","71.3%","60.0%","3603","62.1%","5251","61.8%","8854","61.9%","12491","58.7%","3.2pp"
"Pearl of Wisdom","U","C","62460","6.65","8666","9.16","28638","46.5%","60.0%","4698","60.4%","8321","64.1%","13019","62.8%","15341","57.5%","5.3pp"
"Starscape Cleric","B","U","17021","3.97","3552","5.11","19249","76.1%","60.0%","3140","60.1%","4483","62.0%","7623","61.2%","11380","58.7%","2.5pp"
"Scales of Shale","B","C","58861","5.75","9899","8.02","43170","61.4%","59.9%","6411","59.8%","9814","61.7%","16225","61.0%","26699","59.2%","1.8pp"
"Bakersbane Duo","G","C","40276","3.66","12167","4.61","78515","91.1%","59.9%","13426","61.7%","19016","61.0%","32442","61.3%","45706","58.8%","2.5pp"
"Finneas, Ace Archer","WG","R","4584","2.85","1583","2.98","7897","69.7%","59.8%","1334","63.3%","1843","62.7%","3177","63.0%","4701","57.7%","5.3pp"
"Fireglass Mentor","BR","U","19426","4.93","3942","6.01","16562","59.2%","59.8%","2761","62.2%","3519","60.8%","6280","61.4%","10241","58.9%","2.5pp"
"Seasoned Warrenguard","W","U","22017","5.25","3285","7.31","13389","56.7%","59.8%","2313","63.6%","2919","57.8%","5232","60.4%","8126","59.5%","0.9pp"
"Emberheart Challenger","R","R","4016","2.41","1529","2.57","8930","81.5%","59.8%","1576","62.9%","1936","59.3%","3512","60.9%","5424","59.1%","1.9pp"
"Nettle Guard","W","C","53942","5.03","8711","7.05","47082","75.6%","59.8%","7906","60.6%","10289","57.9%","18195","59.1%","28727","60.2%","-1.1pp"
"Ravine Raider","B","C","62350","6.57","8119","9.42","24851","43.1%","59.8%","4120","63.4%","5299","57.7%","9419","60.2%","15366","59.5%","0.7pp"
"Stormchaser's Talent","U","R","5750","3.39","1702","3.82","8731","72.0%","59.8%","1530","62.7%","2601","64.7%","4131","64.0%","4501","55.8%","8.1pp"
"Builder's Talent","W","U","19650","4.77","3755","6.10","15796","59.3%","59.8%","2765","61.7%","3859","63.1%","6624","62.5%","9107","57.7%","4.7pp"
"Glidedive Duo","B","C","53719","5.01","10376","6.96","57541","78.3%","59.7%","8279","59.6%","14154","62.3%","22433","61.3%","34544","58.5%","2.8pp"
"Curious Forager","G","U","16952","3.78","4449","4.77","26970","85.6%","59.7%","4161","58.6%","6821","62.6%","10982","61.1%","15811","58.8%","2.4pp"
"Fountainport","","R","6343","3.27","1574","4.14","9766","87.8%","59.7%","1752","58.3%","2373","63.5%","4125","61.3%","5623","58.5%","2.8pp"
"Galewind Moose","G","U","11893","2.83","4311","3.34","27298","89.2%","59.7%","3894","60.2%","6973","62.7%","10867","61.8%","16468","58.3%","3.6pp"
"Banishing Light","W","C","35601","3.27","8748","4.23","54972","88.1%","59.7%","8765","60.0%","12821","60.6%","21586","60.3%","33214","59.2%","1.1pp"
"Hazel's Nocturne","B","U","19887","4.50","4089","6.05","21196","73.1%","59.7%","3050","57.3%","5225","63.7%","8275","61.3%","12766","58.5%","2.9pp"
"Treeguard Duo","G","C","44948","4.07","11379","5.30","71997","88.9%","59.6%","11044","59.2%","18214","62.1%","29258","61.0%","42617","58.6%","2.4pp"
"Pond Prophet","UG","C","48150","4.48","10873","5.83","60308","78.4%","59.6%","10772","61.8%","16489","62.4%","27261","62.2%","33003","57.5%","4.7pp"
"Star Charter","W","U","18045","4.30","3038","5.80","14685","67.6%","59.6%","2335","59.4%","3422","60.4%","5757","60.0%","8734","59.0%","1.1pp"
"Valley Flamecaller","R","R","4042","2.43","1490","2.61","8969","84.2%","59.6%","1513","63.1%","2083","59.0%","3596","60.7%","5377","58.8%","1.9pp"
"Plumecreed Escort","U","U","19693","4.43","4229","5.78","23434","77.8%","59.6%","3835","60.1%","6595","63.1%","10430","62.0%","12981","57.6%","4.4pp"
"Hugs, Grisly Guardian","RG","M","2472","3.03","724","3.26","2935","56.5%","59.6%","471","","699","64.8%","1170","63.5%","1769","57.1%","6.4pp"
"Fabled Passage","","R","5918","3.00","1591","3.78","11102","97.9%","59.6%","2159","62.2%","2624","59.8%","4783","60.9%","6299","58.6%","2.3pp"
"Shrike Force","W","U","17002","3.87","3009","5.19","17095","79.1%","59.6%","2823","60.4%","3884","60.6%","6707","60.5%","10344","58.9%","1.7pp"
"Dire Downdraft","U","C","62188","6.22","10623","8.49","46904","62.5%","59.6%","7092","58.9%","13712","62.8%","20804","61.5%","25682","57.9%","3.5pp"
"Daggerfang Duo","B","C","54403","5.06","10143","6.97","55484","77.5%","59.6%","9283","59.2%","13843","61.2%","23126","60.4%","32027","58.9%","1.6pp"
"Rabbit Response","W","C","61379","6.13","8239","8.84","28235","47.9%","59.6%","3908","59.3%","6130","59.5%","10038","59.5%","18174","59.6%","-0.1pp"
"Mistbreath Elder","G","R","4415","2.58","1722","2.73","10103","83.3%","59.5%","1822","64.1%","2703","63.1%","4525","63.5%","5609","56.4%","7.1pp"
"Stargaze","B","U","25676","6.20","3969","8.89","10742","38.2%","59.5%","1598","58.6%","2658","61.8%","4256","60.6%","6446","58.8%","1.8pp"
"Iridescent Vinelasher","B","R","3839","2.28","1688","2.38","10119","83.9%","59.5%","1740","62.4%","2420","62.2%","4160","62.3%","5884","57.3%","5.0pp"
"Uncharted Haven","","C","57009","5.03","10524","7.24","65191","87.9%","59.5%","12456","60.8%","15148","58.0%","27604","59.3%","37550","59.7%","-0.4pp"
"Stickytongue Sentinel","G","C","50849","4.70","11069","6.29","64488","82.1%","59.5%","10276","58.2%","17104","62.2%","27380","60.7%","37052","58.6%","2.1pp"
"Fountainport Bell","","C","60167","5.47","9998","7.88","49441","69.9%","59.5%","9694","59.8%","11973","59.4%","21667","59.6%","27637","59.4%","0.1pp"
"Lifecreed Duo","W","C","47018","4.38","7913","6.02","44490","78.8%","59.5%","7690","60.4%","9851","60.6%","17541","60.5%","26418","58.6%","1.9pp"
"Three Tree Scribe","G","U","17452","4.00","4220","5.09","24106","80.1%","59.5%","4138","61.9%","6537","61.3%","10675","61.5%","13435","57.8%","3.7pp"
"Valley Rotcaller","B","R","3441","2.10","1653","2.22","10431","88.2%","59.4%","1761","63.2%","2491","61.4%","4252","62.1%","6113","57.6%","4.5pp"
"Head of the Homestead","WG","C","47766","4.31","10215","5.83","57121","78.4%","59.4%","8571","58.9%","13414","60.2%","21985","59.7%","34872","59.3%","0.4pp"
"Flowerfoot Swordmaster","W","U","19573","4.70","2918","6.43","13478","65.2%","59.4%","2227","59.9%","2879","58.1%","5106","58.9%","8322","59.8%","-0.9pp"
"Scavenger's Talent","B","R","4950","2.95","1602","3.30","8301","73.0%","59.4%","1397","61.4%","2158","62.4%","3555","62.0%","4690","57.4%","4.6pp"
"Season of the Bold","R","M","2283","2.68","680","2.90","3437","70.7%","59.4%","513","62.8%","791","61.6%","1304","62.0%","2124","57.8%","4.2pp"
"Sonar Strike","W","C","49870","4.56","7481","6.54","40987","76.9%","59.3%","6457","58.8%","9512","61.0%","15969","60.1%","24851","58.8%","1.3pp"
"Bushy Bodyguard","G","U","16550","3.73","4216","4.74","25195","83.8%","59.3%","4097","58.3%","6177","60.3%","10274","59.5%","14790","59.1%","0.4pp"
"Season of Gathering","G","M","1252","1.60","871","1.59","5619","90.4%","59.3%","843","61.6%","1444","65.6%","2287","64.1%","3310","56.0%","8.1pp"
"Long River Lurker","U","U","18535","4.42","4157","5.54","21536","73.3%","59.3%","3504","58.4%","6182","63.9%","9686","61.9%","11848","57.0%","4.9pp"
"Brambleguard Veteran","G","U","18216","4.19","3914","5.38","21791","78.0%","59.3%","3467","60.6%","5219","60.7%","8686","60.6%","13130","58.3%","2.3pp"
"Sunshower Druid","G","C","57839","5.67","8720","7.98","36103","58.8%","59.3%","5958","60.2%","9821","61.6%","15779","61.1%","20308","57.9%","3.2pp"
"Coruscation Mage","R","U","19434","4.61","3244","6.14","16556","71.7%","59.3%","2780","58.9%","4065","61.5%","6845","60.4%","9704","58.5%","2.0pp"
"Wandertale Mentor","RG","U","19309","4.87","3448","6.18","13201","53.8%","59.3%","2288","64.0%","2851","59.0%","5139","61.3%","8086","58.1%","3.2pp"
"Wick, the Whorled Mind","B","R","6218","3.45","1546","4.23","7052","65.1%","59.2%","1093","60.3%","1926","62.5%","3019","61.7%","4005","57.5%","4.2pp"
"Toski, Bearer of Secrets","G","M","219","","128","","807","90.6%","59.2%","125","","186","","311","","500","58.2%",""
"Into the Flood Maw","U","U","23359","5.63","3745","7.83","15413","58.2%","59.2%","2330","60.5%","4597","62.8%","6927","62.0%","8365","56.9%","5.1pp"
"Eddymurk Crab","U","U","20723","5.01","4238","6.41","18440","61.5%","59.2%","2581","58.9%","5642","64.3%","8223","62.6%","10209","56.3%","6.3pp"
"Treetop Sentries","G","C","59032","5.61","10034","7.90","47058","66.2%","59.2%","7213","57.7%","11628","61.2%","18841","59.9%","27956","58.6%","1.2pp"
"Eluge, the Shoreless Sea","U","M","3416","3.78","654","5.11","1960","42.4%","59.2%","297","","619","62.7%","916","61.0%","1052","57.5%","3.5pp"
"Quaketusk Boar","R","U","16463","3.78","3402","4.91","19186","78.6%","59.1%","2807","60.3%","4414","61.0%","7221","60.7%","11988","58.2%","2.5pp"
"Longstalk Brawl","G","C","43240","3.89","10252","5.13","63722","87.7%","59.1%","9843","59.4%","15980","60.7%","25823","60.2%","37669","58.3%","1.9pp"
"Seedglaive Mentor","WR","U","18900","4.72","3091","6.23","13892","63.0%","59.1%","2246","60.7%","3076","58.0%","5322","59.2%","8588","59.1%","0.1pp"
"Lightshell Duo","U","C","63523","6.74","9348","9.42","31301","47.1%","59.1%","4854","59.9%","9255","63.4%","14109","62.2%","17172","56.5%","5.7pp"
"Jolly Gerbils","W","U","20602","4.79","3753","6.51","17969","67.7%","59.1%","3005","61.9%","3817","57.0%","6822","59.2%","11082","59.0%","0.1pp"
"Bark-Knuckle Boxer","G","U","17868","4.07","4059","5.23","24320","84.3%","59.1%","4143","60.1%","5762","59.4%","9905","59.7%","14404","58.7%","0.9pp"
"Blacksmith's Talent","R","U","17476","4.24","3546","5.40","18416","72.5%","59.1%","3095","60.8%","4013","59.3%","7108","59.9%","11292","58.6%","1.4pp"
"Caretaker's Talent","W","R","4194","2.63","1636","2.65","7742","66.6%","59.1%","1265","58.7%","1859","60.7%","3124","59.9%","4602","58.5%","1.4pp"
"Polliwallop","G","C","44621","4.05","10770","5.31","65256","85.6%","59.1%","9800","58.8%","17047","62.4%","26847","61.1%","38138","57.6%","3.5pp"
"Clement, the Worrywort","UG","R","5352","3.27","1749","3.58","8429","68.5%","59.1%","1394","59.8%","2464","63.3%","3858","62.0%","4592","56.5%","5.5pp"
"Starseer Mentor","WB","U","17886","4.32","3467","5.72","15908","64.8%","59.1%","2392","58.4%","3850","62.7%","6242","61.1%","9348","57.2%","3.8pp"
"Starfall Invocation","W","R","3457","2.14","1477","2.15","8104","77.1%","59.0%","1363","61.4%","1967","62.2%","3330","61.9%","4726","57.1%","4.8pp"
"Agate-Blade Assassin","B","C","57737","5.59","8028","8.23","35854","63.0%","59.0%","5934","61.5%","8029","57.8%","13963","59.4%","21700","58.7%","0.7pp"
"Dour Port-Mage","U","R","4695","2.80","1843","2.93","11064","84.6%","59.0%","1913","63.7%","3180","63.5%","5093","63.6%","5972","55.1%","8.4pp"
"Hidden Grotto","","C","61982","5.67","9391","8.33","49661","74.2%","59.0%","9663","59.4%","11643","59.9%","21306","59.7%","28295","58.5%","1.2pp"
"Rockface Village","","U","24581","5.92","2999","8.72","13456","62.5%","59.0%","2422","59.2%","2850","57.3%","5272","58.1%","8178","59.6%","-1.4pp"
"Alania's Pathmaker","R","C","61336","6.31","8774","8.93","33609","53.5%","59.0%","5251","59.2%","7932","59.5%","13183","59.4%","20405","58.7%","0.7pp"
"Pawpatch Formation","G","U","20940","4.50","3623","6.48","16802","65.9%","59.0%","2677","58.1%","4138","61.5%","6815","60.1%","9933","58.2%","2.0pp"
"Tidecaller Mentor","UB","U","24423","5.82","4089","8.02","13419","46.4%","59.0%","2127","59.5%","3926","64.7%","6053","62.9%","7298","55.6%","7.3pp"
"Moonstone Harbinger","B","U","17591","4.06","3303","5.39","17589","74.5%","59.0%","2809","58.4%","4186","61.7%","6995","60.4%","10334","57.6%","2.8pp"
"Oakhollow Village","","U","23224","5.16","3264","7.62","17898","76.9%","58.9%","3233","60.0%","4149","56.9%","7382","58.3%","10501","59.3%","-1.0pp"
"Roughshod Duo","R","C","58734","5.97","7944","8.50","35176","62.1%","58.9%","5663","58.6%","7687","58.5%","13350","58.5%","21828","59.1%","-0.6pp"
"Wax-Wane Witness","W","C","60982","6.06","7186","9.09","25291","49.6%","58.8%","3862","58.0%","5872","59.5%","9734","58.9%","15256","58.6%","0.4pp"
"Otterball Antics","U","U","23818","6.10","3397","8.41","10895","45.5%","58.8%","1835","61.0%","3072","63.4%","4907","62.5%","5908","55.8%","6.7pp"
"Moonrise Cleric","WB","C","52312","4.84","7668","6.97","38474","70.5%","58.8%","6448","59.2%","8998","59.7%","15446","59.5%","22521","58.0%","1.5pp"
"Mockingbird","U","R","4660","2.65","1735","2.95","10236","84.4%","58.8%","1706","59.9%","2923","63.4%","4629","62.1%","5600","56.0%","6.1pp"
"Whiskerquill Scribe","R","C","62849","6.75","7949","9.61","26739","47.0%","58.8%","4506","59.8%","5545","55.4%","10051","57.3%","16671","59.7%","-2.4pp"
"Brambleguard Captain","R","U","18366","4.43","2929","6.03","14928","71.5%","58.8%","2261","58.2%","3264","58.8%","5525","58.6%","9409","58.9%","-0.4pp"
"Long River's Pull","U","U","24235","6.07","3322","8.72","10791","45.7%","58.8%","1723","59.4%","3127","63.7%","4850","62.2%","5872","55.9%","6.3pp"
"Parting Gust","W","U","18883","4.31","2906","5.95","15066","72.8%","58.8%","2140","58.0%","3453","59.6%","5593","59.0%","9438","58.6%","0.4pp"
"Muerra, Trash Tactician","RG","R","5715","3.49","1362","4.12","5334","54.6%","58.8%","869","62.7%","1249","60.4%","2118","61.4%","3225","57.1%","4.3pp"
"Brazen Collector","R","U","17524","4.04","3812","5.17","22269","81.6%","58.8%","3719","61.6%","4999","56.2%","8718","58.5%","13543","58.9%","-0.4pp"
"Agate Assault","R","C","48476","4.64","7809","6.33","44132","78.9%","58.8%","7207","58.5%","10420","60.2%","17627","59.5%","26354","58.2%","1.2pp"
"Portent of Calamity","U","R","9918","5.34","1329","7.95","2124","22.2%","58.7%","316","","601","64.9%","917","64.3%","1188","54.0%","10.4pp"
"Druid of the Spade","G","C","62330","6.30","8544","9.17","28065","46.2%","58.7%","4553","58.5%","6356","57.2%","10909","57.7%","17126","59.3%","-1.6pp"
